0,1,2,3,4,5
https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/engelsk_fodbold/PremierLeague/slap-naadigt-efter-historisk-blamage/7853660,0,Slap nådigt efter historisk blamage,Fire dage efter 0-9-nederlaget til Leicester slap Southampton mere nådigt fra pokalmøde med Manchester City,"Manchester City er klar til kvartfinalen i den engelske Liga Cup - også kaldet Carabao Cup - og er fortsat i spil til at vinde turneringen for tredje sæson i træk.Tirsdagens ottendedelsfinale blev vundet uden de mindste vanskeligheder på hjemmebane over kriseramte Southampton med 3-1.For Southampton, der havde Pierre-Emile Højbjerg i startopstillingen og Jannik Vestergaard på bænken, gjaldt det om at komme videre med skindet på næsen efter det rekordstore liganederlag på 0-9 til Leicester for fire dage siden.I forsøget på at hente et tåleligt resultat gik Southampton ultradefensivt til værks og parkerede så at sige spillerbussen foran eget mål.Det resulterede i et massivt City-pres fra begyndelsen, og man fik følelsen af, at Southampton blot var kommet til Manchester for at begrænse et uundgåeligt nederlag.City-chancerne blev hurtigt store, og efter 20 minutter headede Nicolás Otamendi 1-0-målet ind. Syv minutter før pausen øgede Sergio Agüero med en nem flugter efter et gennemspillet angreb.Southampton-spillerne virkede kyste, og holdet, der ligger under nedrykningsstregen i Premier League, var knap nok over midterlinjen i første halvleg.Det sagde alt, at City efter de første 45 minutter var noteret for 80 procents boldbesiddelse og en skudstatistik, der lød 11-0.Kampbilledet var uændret i starten af anden halvleg, og City sværmede om kassen i jagten på flere mål. Agüero sørgede for endnu et til 3-0, da han var hurtigst over et afrettet skud fra Riyad Mahrez.Senere i halvlegen kom Southampton lidt bedre med, og det lykkedes at sætte en reducering ind ved Jack Stephens' hovedstød et kvarter før tid.Det gav Southampton lidt tro på tingene, og holdet slap fra kampen med æren i behold.Allerede på lørdag tørner de to hold sammen igen samme sted denne gang i Premier League.Topholdet Leicester er også videre til kvartfinalerne i Carabao Cup efter en udesejr på 3-1 over Burton. Kasper Schmeichel blev sparet og sad på bænken.Også Everton er som ventet blandt de otte sidste i turneringen. På hjemmebane vandt holdet med 2-0 over Premier Leagues agterlanterne, Watford.",29. okt. 2019
https://ekstrabladet.dk/nationen/kontanthjaelpsmodtager-traet-af-cv-kurser-ville-laane-50.000-af-kommunen/7851597,292,Kontanthjælpsmodtager træt af CV-kurser: Ville låne 50.000 af kommunen,,"- Iværksættere er ethvert samfunds rygrad. Vi er dem, der skaber arbejde og nye redskaber til samfundet! - Derfor skulle man tro, at iværksættere er I høj kurs inden for staten og dens prioritering af lån, når der er lovende projekter, der kan sættes I værk. - Sandheden er dog en helt anden. Det er så godt som umuligt at få lån fra staten og kommunerne, som burde investere I disse iværksætter projekter!Havde store problemer med at skaffe pengeSådan indleder  Philip D et brev til nationen! om at stå med et brag af en god ide, men desværre være på offentlig ydelse og derfor ildeset i banken – og så konstatere, at kommunen ikke vil hjælpe en på vej. Philip har modtaget hjælp til forsørgelse i flere år, men han er ikke spor imponeret over den job-indsats, der foregår i dag. Han synes kommunerne spilder deres penge på kurser og professionelle mentorer, der sjældent skaffer arbejde eller penge til samfundet, og han synes der skal mere fokus på iværksætteri i kommunerne. Hans brev – som Fredensborg kommune svarer på nedenfor – fortsætter derfor således:- Et typisk eksempel, har jeg lige været ud for, da jeg har store problemer med at skaffe midler til en medicinsk opfindelse. En opfindelse som vil spare samfundet for millioner af kroner, da den kan bekæmpe betændelser, der koster samfundet mange penge! Blev glad da jeg læste om mikrolån- Derfor blev jeg utrolig glad, da jeg opdagede at en iværksætter fra Århus havde fået et mikrolån af kommunen til at komme i gang med sin opfindelse. Håbefuldt gik jeg ned til min kommune, som er Fredensborg, for at ansøge om et mikrolån til at få udviklet en prototype af produktet, da der ligger en aftale om, at en stor plastikproducent vil producere den og sælge den i hele verden!- Men nej endnu en skuffelse, for i Fredensborg kommune, bruger man ikke mikrolån, og man kan desværre ikke hjælpe med penge. Kun med en snak, der koster kommunerne kassen i diverse mentorer og kurser, man skal deltage i, skriver Philip, der havde håbet på, at hans brev ville have åbnet Fredensborg Kommunes øjne for mikrolån. Men det skete ikke:Vi kan give tilskud til tænder eller kørekort- Vi har kun har meget begrænsede muligheder for at støtte med den nuværende lovgivning.- Vi kan fx give tilskud til tænder eller kørekort, som kan være forudsætning for at få job.- Det kendte eksempel med mikrolån fra Århus var bl.a. finansieret af penge fra Velux-fonden, så der var andre muligheder, oplyser kommunen til nationen!, og henviser til at Aalborg Kommune som frikommuneforsøg også tilbyder mikrolån.",29. okt. 2019
https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/spanskfodbold/udnytter-rival-bommert-barcelona-til-tops-efter-maalfest/7853672,1,Udnytter rival-bommert: Barcelona til tops efter målfest,Barcelona vandt 5-1 hjemme over Real Valladolid og overtager førstepladsen efter Atletico Madrids pointtab,"FC Barcelona er nyt tophold i Spaniens bedste fodboldrække.Tirsdag aften spillede storklubben fra Catalonien sig op på førstepladsen i Primera Division ved sikkert at vinde med 5-1 hjemme over Real Valladolid. Lionel Messi viste atter storform og bidrog med to assist og to mål.Ud over at passere Granada, der før tirsdagens to kampe lå på en overraskende førsteplads, fik Barcelona også distanceret Atlético Madrid.Hovedstadsklubben havde tidligere tirsdag aften sat en 1-0-føring over styr og måtte nøjes med 1-1 i udekampen mod Alaves. Álvaro Morata havde planmæssigt bragt Atletico i front, men Lucas Perez udlignede på fornem vis syv minutter før tid.Et sultent Barcelona-hold tog første skridt mod at udnytte konkurrentens pointtab allerede efter to minutter af hjemmekampen mod Valladolid, da Clément Lenglet scorede på en tilfældig nedfaldsbold i feltet.Kiko fik uventet udlignet for gæsterne, men allerede inden pausen var tingene sat på plads.Artiklen fortsætter under billedet...",29. okt. 2019
https://ekstrabladet.dk/sport/formel_1/tak-for-eventyret-kevin/7850333,216,"Tak for eventyret, Kevin",,"MEXICO CITY (Ekstra Bladet): Debuten var velsignelse og forbandelse på samme tid. Andenpladsen satte drømme i gang hos alle danskere i stand til at stave til Formel 1.Fem år senere er verdensmesterskabet noget længere fra Kevin Magnussens rækkevidde end både han selv og den kæmpe gruppe danske F1-fans, som stadig følger ham intensivt, kunne ønske sig. Og han har stadig gensyn med podiet til gode.Denne weekend rundede han 100 grandprixer i motorsportens fineste og mest hensynsløse klasse, hvilket i sig selv er så markant en milepæl, at den måske aldrig bliver overgået.Jan Magnussen nåede 25. Nicolas Kiesa fem!Siden 1950 har 71 racerkørere rundet 100 grandprixer før Kevin Magnussen. Alene at etablere sig i toppen af motorsports-pyramiden er en præstation, som er værd at hejse Dannebrog for. Nyd det så længe det varer.",29. okt. 2019
https://ekstrabladet.dk/nyheder/samfund/hoejsaeson-for-fugleedderkopper-i-danmark/7853530,50,Højsæson for fugleedderkopper i Danmark,,"Man behøver ikke drage mod de varmere himmelstrøg, hvis man vil opleve en vaskeægte fugleedderkop.For på Bornholm trives tapetseredderkoppen faktisk så godt, at den nu også har spredt sig til andre dele af Danmark.Det er tilmed den perfekte tid af året at gå på udkig efter edderkoppen, som er ekstra aktiv i øjeblikket, skriver Danmarks Radio. Man kan spotte hannerne fra sidst i august, indtil frosten rammer, mens hunnerne tilbringer hele deres liv i huler 20-30 centimeter under jorden.Hvis man ser den, skal man ikke være bange, vurderer naturformidler og forfatter Michael Stoltze.- Den er ikke farlig for andre end bænkebiddere og fluer, siger Michael Stoltze, der beskriver den omtrent to centimeter lange edderkop som 'nuttet'.På jagt efter mageFra netop august og indtil frosten rammer, er hannerne dog på jagt efter en bedre halvdel. Det er her, man kan være så heldig at møde en tapetseredderkop. Man skal dog ikke regne med alt for meget.- Det er usædvanligt at se selve edderkoppen. Til gengæld kan man se toppen af dens bo på sollune steder i lyngfyldte områder og ved siden af sten, siger Michael Stoltze til dr.dk.Boet skulle ifølge eksperten ligne en lille gren eller en hundelort.",29. okt. 2019
https://ekstrabladet.dk/flash/udlandkendte/tvivl-om-zombie-boys-doed-det-var-ikke-som-man-troede/7853346,10,Tvivl om Zombie Boys død: Det var ikke som man troede,,"I august, sidste år, kom det frem, at Rick Genest - også kendt som Zombie Boy - var gået bort seks dage før sin fødselsdag i en alder af blot 32 år.Flere medier kunne berette, at alt tydede på selvmord, da han blev fundet foran sit hjem i Montreal, Canada, efter et fald fra 3. sal.Men nu - mere end et år senere - kan retsmediciner Melissa Gagnon slå fast, at der formentlig var tale om en tragisk ulykke. Hun skriver i sin rapport, at han blev fundet 'bevidstløs og blødende' foran bygningen af en forbipasserende. I hans krop fandt man mængder af alkohol, så han beskrives som 'svært påvirket', ligesom man også fandt spor af cannabis.",29. okt. 2019
https://ekstrabladet.dk/nyheder/samfund/vegetar-spiste-en-burger-i-dag-er-hun-slagter/7852973,88,Vegetar spiste én burger: I dag er hun slagter,,"Efter et årti som vegetar følte Tammi Jonas sig nødsaget til at spise kød, fordi hun manglede næringsstoffer under en graviditet. Hun spiste derfor en burger, og siden den dag var hun tilbage på kødvognen.I dag er hun slagter, mens hun samtidig driver en gård med økologiske svin og holder foredrag om dyreforhold i kødindustrien.Det skriver flere internationale medier, heriblandt Daily Mail og det australske medie 10 Daily.Mangeårig vegetarTammi Jonas blev vegetar i 70'erne, da hun som blot 19-årig læste en bog om dyrenes forhold på gårde og slagterier. Den påvirkede hende så meget, at hun besluttede sig for helt at droppe kød.- Min øjeblikkelige reaktion var: 'Jeg vil ikke deltage i at behandle dyr på denne måde, og den eneste måde, jeg kan gøre det på, er ved at stoppe med at spise kød,' siger hun.Hun holdt sig fra kød i et årti og gennem hele to graviditeter, men da hun under sin tredje graviditet fik mangel på næringsstoffer, besluttede hun sig for at spise en burger, da hun mente, at den sikkert kunne hjælpe på problemet.Det gjorde den, og Tammi Jonas spiste derefter kød en gang om ugen. I starten var det kun rødt kød som okse og lam, men efter et par år begyndte hun også at spise både svin og fjerkræ igen.Hun var opmærksom på kun at spise kød fra steder, som behandlede dyrene godt.Slagter selvSenere blev hun inspireret til selv at starte et landbrug, hvor hun sammen med sin mand ville opfostre og slagte svin på en human og etisk korrekt måde. Det skulle være med til at give forbrugerne en mulighed for at købe kødprodukter fra svin, som er behandlet ordenligt.Mens hendes mand stod for at finde ud af, hvordan de bedst muligt fik startet gården op, stod Tammi Jonas for at lære at slagte på en human måde. Det tog tid at lære efter et årti som vegetar.- Jeg føler, det er mest retfærdigt at spise kød, når jeg ved, at de ikke havde noget frygt, ingen smerte, og at de lige var i live, og så var de døde, siger hun.",29. okt. 2019
https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/tyskfodbold/bayern-munchen-afvaerger-pokalfiasko-med-to-sene-maal/7853638,3,Bayern München afværger pokalfiasko med to sene mål,"Serge Gnabry og Thomas Müller scorede sent, da Bayern München vendte 0-1 til 2-1 ude mod Bochum i pokalen","Bayern München var i store problemer i udekampen mod VfL Bochum i den tyske pokalturnering, men med to sene scoringer spillede storklubben sig videre til ottendedelsfinalerne.Serge Gnabry og Thomas Müller vendte kampen på hovedet i slutminutterne, så Bayern vandt 2-1 efter at have scoret et selvmål i første halvleg mod holdet fra den tunge ende af 2. Bundesligaen.Bochum var op gennem 1970'erne og 1980'erne en fast bestanddel af Bundesligaen, inden holdet begyndte en elevatortilværelse mellem Tysklands to bedste rækker.Det var i perioden med skiftende op- og nedrykninger, at danskerne Tommy Bechmann, Søren Colding, Peter Graulund, Peter Madsen og Peter Skov Jensen var en del af klubben.Siden nedrykningen i 2010 har Bochum været at finde i 2. Bundesligaen. I bestræbelserne på at rykke op har danskerne Ken Ilsø og Michael Lumb været forbi klubben uden den store succes.Aktuelt kæmper holdet for at undgå nedrykning til 3. Bundesligaen, men det var ikke til at se i tirsdagens pokalkamp, hvor holdet ydede stor modstand mod forhåndsfavoritterne.Efter en halv time fik størstedelen af tilskuerne på den udsolgte arena i Bochum noget at glæde sig over.Danny Blum smed et meget hårdt og fladt indlæg ind foran mål, og ved bageste stolpe var canadieren Alphonso Davies uheldig, da han endte med at dirigere kanonkuglen i eget net.Bagud 0-1 prøvede det tyske mesterhold at trykke på speederen, og resten af kampen var på mange måder spil til et mål.Bochums forsvar var godt organiseret, og selv om Robert Lewandowski, Kingsley Coman og de øvrige Bayern-stjerner enkelte gange fandt plads, lugtede det kraftigt af en kæmpe pokaloverraskelse.Med syv minutter tilbage af den ordinære spilletid blev fiaskoen så afværget. Efter et fremragende indlæg fra Joshua Kimmich kunne Serge Gnabry flugte udligningen i mål.1-1-målet øgede kun Bayern-presset, og afslutningerne mod Bochums mål stod i kø.Vilkårene for en Bayern-sejr blev endnu bedre, da den 17-årige forsvarsspiller Armel Bella-Kotchap blev vist ud for en nødbremse i det 88. minut.Blot minuttet efter udnyttede Thomas Müller overtallet til at score sejrsmålet efter et indlæg.Det blev dog til en stor pokaloverraskelse andetsteds. Saarbrücken fra det fjerdehøjeste liganiveau vandt 3-2 hjemme over FC Köln fra Bundesligaen.Flere danskere var også i aktion i tyske pokalkampe tirsdag aften.Angriberen Marcus Ingvartsen spillede hele kampen og fik et gult kort, da Union Berlin med to sene mål vandt 3-1 på udebane over Freiburg.Robert Skov fik de sidste fem minutter på banen, da Hoffenheim vandt 2-0 ude over Duisburg. Se også: Brutale billeder: Dommer slået bevidstløs Se også: Gladbach topper efter sejr over Rønnow og Frankfurt Se også: Sætter vild rekord",29. okt. 2019
https://ekstrabladet.dk/flash/udlandkendte/se-zara-larssons-vilde-forvandling/7853131,41,Se Zara Larssons vilde forvandling,,"Den 21-årige svenske popstjerne Zara Larsson, der allerede fik sit musikalske gennembrud som 10-årig, da hun medvirkede i TV4 Sveriges populære program 'Talang', har for nylig gennemgået en voldsom forandring med henblik på sit udseende. Hun har nemlig fået knaldrødt hår.Zara Larsson har gennem de sidste mange år haft blond hår i diverse længder og nuancer. Derfor var det ganske naturligt, at mange af hendes ca. seks millioner følgere på Instagram fik kaffen galt i halsen, da de i weekenden på Instagram så et nyt billede af smukke Zara med knaldrødt hår.Til billedet skriver Zara Larsson følgende:'Pennywise ryster, Pippi Langstrømpe ryster, Ally ryster, Ariel ryster og Poison Ivy ryster i bukserne'. I sin tekst refererer Zara Larsson til andre personer, der alle har rødt hår.Det skal dog lige for retfærdighedens skyld nævnes, at mange af Zara Larssons følgere mistænker, at den nye hårfarve udelukkende er en del af et kommende Halloween-kostume.En Instagram-følger skriver:'Flot Halloween-look. Sexet rødtop, tænker jeg.'En anden skriver:'Ummm Jeg ryster. Foren jer alle rødhårede.'En tredje skriver:'Mit idol har meldt sig ind i de rødhåredes klub'.En fjerde skriver kort og kontant:'Glem ikke prins Harry',Vi mangler dog endnu at få et endelig svar på, om Zara Larssons røde hår er en del af et kommende Halloween-kostume, eller om den svenske popstjerne faktisk har farvet sit hår rødt permanent. Det må den nære fremtid vise.Zara Larsson har i sin karriere udgivet to albums. Hun har samarbejdet med bandet 'Clean Bandit'. For nylig afsluttede hun en turné sammen med den verdenskendte musiker Ed Sheeran, der i øvrigt også er rødhåret.",29. okt. 2019
https://ekstrabladet.dk/sport/cykling/kaempe-skandale-indroemmer-indkoeb-af-ulovligt-stof/7853581,30,Kæmpe skandale: Indrømmer indkøb af ulovligt stof,,"I en vidneerklæring, som han afgav i september, erkender lægen Richard Freeman, at han har løjet gentagne gange under den langstrakte efterforskning af en skandale, som har kastet en skygge over britisk cykling og i særdeleshed flagskibet Team Ineos.Han erkender ifølge avisen Daily Mail, at det var ham, der i maj 2011 bestilte 30 doser af produktet Testogel til levering på cyklebanen i Manchester, hvor både det britiske cykleforbund British Cycling og Team Ineos - dengang under navnet Team Sky - holdt til. Freeman var på det tidspunkt ansat begge steder og arbejdede på Team Sky især med Bradley Wiggins, som vandt Tour de France 2012.",29. okt. 2019
