0,1,2,3,4,5
https://ekstrabladet.dk/nyheder/jobtal-for-maj-i-usa-overrasker-voldsomt/8151046,303,Jobtal for maj i USA overrasker voldsomt,"Det var ventet, at arbejdsløshedsprocenten i USA ville stige til omkring 20 i maj. I stedet faldt den","Der blev i maj skabt 2,5 millioner arbejdspladser i USA uden for landbruget, viser tal fra arbejdsministeriet ifølge AFP. Det var en stor overraskelse for økonomerne, der ifølge nyhedsbureauet Reuters forventede, at otte millioner arbejdspladser ville gå tabt.Jobskabelsen betød, at arbejdsløshedsprocenten faldt til 13,3 procent fra 14,7 procent i april. Økonomerne ventede en stigning til i nærheden af 20 procent.Fredagens jobrapport er ifølge Kim Blindbæk, der er seniorøkonom hos Sydbank, en 'kæmpe overraskelse'.Han peger i en skriftlig kommentar på, at fremgangen er trukket af den private sektor.- Det hænger sammen med, at mange virksomheder nu er i gang med at genansætte, vurderer han.Han fortæller, at den amerikanske jobrapport er interessant med danske øjne, fordi USA er et stort dansk eksportmarked - og når det går godt her, er der også større chance for, at det går godt i Danmark.Der er dog stadig lang vej til tilstanden, der herskede inden udbruddet af coronavirusset for alvor ramte USA.I marts var arbejdsløshedsprocenten på 4,4 procent, men den blev banket op til 14,7 procent i april, hvor beskæftigelsen uden for landbruget faldt med 20,5 millioner.Det var det største fald nogensinde. Uden finanskrisen faldt beskæftigelsen med 8,7 millioner fra februar 2008 til februar 2010.Arbejdsløsheden toppede under finanskrisen på ti procent.Kim Blindbæk forventer, at genopretningen vil fortsætte i junirapporten.- Vi forventer dog ikke, at den amerikanske økonomi hurtigt vender tilbage til niveauet før coronakrisen. Mange arbejdspladser vil sandsynligvis være tabt, skriver han.- Set med danske briller er udfordringerne for den amerikanske økonomi dårligt nyt. Vi er nemlig meget afhængige af eksporten til verdens største økonomi, vurderer Kim Blindbæk. ",5. jun. 2020
https://ekstrabladet.dk/nationen/lorte-fars-dag-ingen-har-ringet/8151026,286,Lorte Fars Dag: Ingen har ringet,,"- Jeg er meget skuffet. - Ingen af mine børn har ringet og sagt tillykke med ’fars dag’. - Og alle almindelige butikker er lukket, og vi måtte lede lang tid efter en åben bager i morges. Blomsterbutik: Mors Dag er fire gange så storDanskerne har fejret Fars dag siden 1935. De seneste år har hyldestdagen for familiens mandlige overhoved været i kraftig vækst, og i år slog 85-årige Fars dag en ny rekord hos Interflora. 17.759 døtre og sønner sendte deres far en kærlig tanke gennem Interflora, en vækst på 51 pct. i forhold til sidste år. En flaskegrøn ’buket’ har været særligt populær, og Interflora måtte melde udsolgt på øl. Trods fremmarchen for Fars dag er Mors dag dog fortsat suverænt størst, og var i år fire gange større end Fars dag.Kilde: Interflora",5. jun. 2020
https://ekstrabladet.dk/flash/udlandkendte/amok-paa-tv-vaert-sikke-en-gang-skrald/8150829,267,Amok på tv-vært: - Sikke en gang skrald!,,"Er der to, der er kendt for ikke at skjule deres holdninger, uanset hvor kontroversielle de end måtte være, er det tv-vært Piers Morgan og advokat og mangeårig New York-borgmester Rudy Giuliani.Giuliani for stædigt og, bevares, ofte ganske ærligt, at forsvare Donald Trump, for hvem han har tjent som personlig advokat gennem en årrække. Og Piers Morgan for ikke at holde sig tilbage på selvsamme præsidents yndlingsmedie, Twitter, hvor han indvier sine følgere i sit syn på stort set alt.",5. jun. 2020
https://ekstrabladet.dk/nyheder/politik/danskpolitik/nu-vil-tulle-ud/8150093,773,Nu vil Tulle ud,,"Kristian Thulesen Dahl vil have Danmark ud af EU.Det gør han klart i sin grundlovstale, som han holder fra slottet Lykkesholm på det østlige Fyn.- Det er i Danmarks interesse at gøre sig fri af den tyngende overfrakke, som EU er. Gøre sig fri af den politiske overbygning som tager mere og mere af den ilt, som ellers sikrer et levende demokrat, siger Dansk Folkepartis formand.Norsk vejKristian Thulesen Dahl vil afvente Storbritanniens endelige exit. Derfra skal Danmark finde en vej ud af samarbejdet.- Hvis briterne får en god løsning, bør vi i Danmark gå samme vej. Ellers må vi se Norges vej. Frihandel uden den politiske union er vores mål. Vejen dertil kan vi diskutere, lyder det fra DF-lederen.- Derfor er Dansk Folkeparti modstander af EU. Og derfor ønsker vi, at Danmark får en anden tilknytning til de andre europæiske lande. Hvor vi bevarer frihandelen med de øvrige europæiske lande, men hvor vi vrister os fri af den politiske omklamring. Den omklamring der er i færd med at gøre Europa til en omgang leverpostej-farvet gennemsnits-tristhed. Hvor de gamle nationalstater med deres særkender står for fald til gengæld for et bureaukrat-styre fra Bruxelles, siger han.Partiformandens melding om et daxit kommer efter uklarhed om partiets EU-kurs, erkender Kristian Thulesen Dahl.– Vi har brugt for meget krudt på, om der kommer en britisk løsning, som er tilfredsstillende. Det har fortabt sig, hvad vores mål er. Det ønsker jeg at skære igennem, så der ikke efterfølgende er tvivl.– Så nu skal Danmark ud af EU. Det ændrer sig ikke?– Nu ligger DF’s kurs fast. Nu skal det handle om, hvordan vi når målet.– Du nævner Norge. Vil du et Danmark, som følger i hælene på EU uden at kunne påvirke beslutningerne?– Nej, jeg siger, hvis briterne får en god løsning, så er det en idé at spejle sig i den. Ellers kan vi kigge Norges vej. – Vi har faktisk nogle forbehold, som gør, at Norge skal følge nogle ting, som vi ikke skal følge. Det betyder, at man ikke bare kopiere det én til én. Vi skal spille med musklerne i EU og vise, at Danmark er et land som Tyskland og Frankrig vil lave en aftale med.– Norge har oliemilliarder. Storbritannien er en stor økonomi. Er det ikke fuldstændig urealistisk at vi kan klare os uden for EU?– Nej, det er det ikke, slutter Kristian Thulesen Dahl.Norge er ikke medlem af EU, men har en frihandelsaftale med unionen.",5. jun. 2020
https://ekstrabladet.dk/nyheder/samfund/sverige-registrerer-77-nye-doedsfald-med-coronavirus/8150996,16,Sverige registrerer 77 nye dødsfald med coronavirus,Der er registreret flere end 1000 nye smittede med coronavirus i Sverige. Det oplyser myndighederne fredag,"Sverige har fredag registreret nye 77 dødsfald med coronavirus.Det rapporterer tv-stationen SVT.Det bringer det samlede dødstal i Sverige op på 4639.Det er en del flere end torsdag, hvor der blev meldt om 20 nye dødsfald. Der skal dog tages forbehold for, at der er udsving i Sveriges statistik over dødsfald med coronavirus i landet.1056 nye smittetilfælde med coronavirus er registreret i Sverige.Dermed er det samlede antal bekræftet smittede i landet oppe på 42.939.295 personer med coronavirus er i respirator. Både hvad angår dødsfald og antal smittede med coronavirus, er Sveriges hovedstad Stockholm hårdest ramt.Selv om Sverige har været hårdt ramt af coronavirus og i gennemsnit har registreret lige under 50 døde i døgnet siden epidemiens start, har statsminister Stefan Löfven (S) netop valgt at ophæve indenlandske rejserestriktioner fra den 13. juni.Sverige har valgt en anderledes og mere åben strategi end de fleste andre lande under coronakrisen.Men selv om Sveriges strategi er mere åben end eksempelvis Danmarks, valgte politiet torsdag aften at opløse en demonstration i Malmø til støtte for den sorte amerikaner George Floyd, der døde i forbindelse med en anholdelse. Det skete, fordi det blev vurderet, at der var risiko for smittespredning med coronavirus.Det på trods af, at der var givet tilladelse til demonstrationen. I Sverige er der forbud mod forsamlinger på over 50 personer, og mindst 300 deltog til demonstrationen.I Danmark må man til gengæld gerne demonstrere – også selv om man er flere end ti personer, som forsamlingsforbuddet herhjemme lyder på.Onsdag spekulerede statsepidemolog Anders Tegnell i, om man skulle have handlet en anderledes strategi.Konklusionen fra Anders Tegnell var, at kunne man gå tilbage i tiden, skulle man nok have valgt ”en mellemting” mellem det, Sverige har gjort, og det, resten af verden har gjort, lød det i udtalelser, der er gået verden rundt i forskellige internationale medier.",5. jun. 2020
https://ekstrabladet.dk/nyheder/samfund/antallet-af-indlagte-med-coronavirus-falder/8150993,66,Antallet af indlagte med coronavirus falder,"Antallet af indlagte med coronavirus i Danmark er faldet med 12 til 85. Yderligere fire er døde, viser tal","Antallet af indlagte med coronavirus fortsætter med at falde. Der er fredag indlagt 85, hvilket er 12 færre end torsdag.Det viser tal for Statens Serum Institut.Antallet af indlagte er det laveste siden 17. marts, hvor 82 smittet med coronavirus var indlagt.De to dage før - 15. og 16. marts - var der indlagt henholdsvis 28 og 62 på de danske sygehuse.Indlæggelserne toppede i starten af april med 535. Der har dog stort set siden været en faldende tendens i antallet af indlagte.Der er fredag fortsat 17 med coronavirus indlagt på intensiv afdeling. Ti er så syge, at de har brug for en respirator til at trække vejret. Det er to flere end torsdag.Yderligere fire smittet med virusset er døde, hvilket bringer det samlede dødstal op på 586. Coronavirus behøver dog ikke at være dødsårsagen, selv om dødsfaldene indgår i opgørelsen.For at tælle med i statistikken skal man være død senest 30 dage efter en positiv test.Der er registreret 64 nye smittet mod coronavirus. De seneste seks dage er der registreret 40 eller færre nye smittetilfælde.Samlet er 11.875 registreret smittet med virusset. Langt de fleste formodes dog at have overstået sygdommen.Sundhedsmyndighederne har ikke et egentligt tal for raskmeldte, men bruger i stedet betegnelsen, at man har overstået infektionen.Det er man, hvis man 14 dage efter en positiv test ikke er indlagt eller afgået ved døden.Langt størstedelen af de bekræftede smittetilfælde - 10.656 - har overstået infektionen. Det er 33 flere end torsdag.Der er blevet testet yderligere 10.071 personer, hvilket bringer det samlede antal op på 562.905.Tallet er dog reelt højere, da der i opgørelsen kun indgår tal for de test, der er kommet svar på.Antallet af prøver, der er eller bliver analyseret, er steget til 684.557. Det er 12.999 flere end torsdag. ",5. jun. 2020
https://ekstrabladet.dk/nyheder/politik/ingen-fremskridt-i-brexit-forhandlinger/8150959,13,Ingen fremskridt i Brexit-forhandlinger,"Storbritannien og EU kan fortsat ikke blive enige om aftale for det fremtidige forhold, siger forhandlere","Der er stadig ikke sket fremskridt i forhandlingerne om fremtiden mellem EU og Storbritannien efter fjerde forhandlingsrunde.Det siger Michel Barnier, som er EU's chefforhandler, på en pressekonference fredag.- Vores mangel på fremskridt skyldes ikke vores metode, men substansen. Jeg er EU's forhandler, og det er mit ansvar at fortælle sandheden. Og sandheden er, at der ikke har været nogen væsentlige fremskridt i denne uge.- Vi kan ikke fortsætte sådan her for evigt, siger han.Denne forhandlingsrunde er den sidste, før deadline om at forlænge overgangsperioden efter brexit nærmer sig 30. juni.Det er især spørgsmål om fiskeri, regler for statsstøtte og konkurrencevilkår, som splitter parterne.Det er afgørende problematikker for EU, men der er ikke sket fremskridt på nogen af punkterne, siger Barnier fredag. Det samme har han sagt på pressekonferencer efter de forrige forhandlingsrunder.Første forhandlingsrunde blev indledt i Bruxelles 2. marts. Herefter skulle forhandlingerne skiftevis være i Bruxelles og London.Men på grund af coronapandemien blev de fysiske møder afløst af videokonference.Og nu er der behov for, at partnere mødes fysisk, hvis der skal ske fremskridt, mener Storbritanniens chefforhandler, David Frost.- Fremskridtet er fortsat begrænset, men vores samtaler har været positive i tonen. Men vi er tæt på at nå grænsen for, hvad vi kan opnå gennem dette format (videokonferencen red.).- Hvis vi skal opnå fremskridt, er det klart, at vi skal intensivere og accelerere vores arbejde. For vores vedkommende er vi villige til at arbejde hårdt for at se, om i det mindste konturerne af en afbalanceret aftale, som dækker alle spørgsmål, snart kan nås, siger Frost. Storbritannien forlod officielt EU 31. januar med en overgangsperiode til årets udgang, hvor landet stadig følger EU's regler. Den overgangsperiode kan forlænges, men det skal senest gøres 30. juni. Storbritannien står dog fast på, at det ikke kommer til at ske.Barnier understreger fredag, at EU gerne vil være med til at forlænge perioden med op til to år.I slutningen af juni er der et møde mellem den britiske premierminister, Boris Johnson, EU-præsident, Charles Michel, og EU-Kommissionens formand, Ursula von der Leyen.Her skal parterne vurdere fremskridt i forhandlingerne. Datoen er endnu ikke fastsat.",5. jun. 2020
https://ekstrabladet.dk/ferie/maatte-vende-om-efter-1170-kilometer-lufthavnen-var-lukket/8149865,20,Måtte vende om efter 1170 kilometer: Lufthavnen var lukket,,"De to passagerer ombord på et stort Airbus A320-fly fra Eurowings fik sig 23. maj lidt af en overraskelse i luften over deres hjemland Italien. For personalet ombord på flyet, der var lettet fra Düsseldorf med kurs mod Olbia på Sardinien, havde tilsyneladende ikke sikret sig, at Olbia-lufthavnen var genåbnet. Det gik først op for de ombordværende, at det ikke var tilfældet, da de nåede frem til øen.Det skriver CNN Travel, der citerer italienske Corriere Della Sera.  Se også: Lavprisselskab åbner rute til ferieparadis fra både København og BillundKontroltårnet, som overbragte den kedelige nyhed til flyet, foreslog i stedet piloterne at lande i Cagliari på Sardinien. Men den idé blev pure afvist i cockpittet. Piloterne foretrak i stedet at vende flyet rundt og flyve hele den lange vej tilbage til Düsseldorf.  Se også: Skynd dig: Sommerhusene er snart vækPassagererne endte derfor med at bruge fire timer og ti minutter på en mere end 2300 kilometer lang tur, der ikke førte dem meget længere end fra afgangsterminal til ankomsthal i Düsseldorf lufthavn.CNN Travel har spurgt Eurowings ind til den uheldige misere, og en talsperson fra selskabet forklarer til mediet, at 'coronakrisen har gjort situationen i mange europæiske lufthavne meget dynamisk'.- Den store mængde information om åbningstider og lufthavnslukninger, som er tilgængelig, bliver ofte ændret med kort varsel, siger talspersonen til CNN Travel.De to passagerer, som havde håbet at vende hjem til Sardinien med Eurowings-flyet, kom dog ikke til at betale for den lange flyvetur. De blev i stedet tilbudt nye billetter til en senere flyrejse.  Se også: Skulle give plads til flere krydstogtskibe: Nu udskydes ny terminal",5. jun. 2020
https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/fck-traener-testet-positiv/8150933,121,FCK-træner testet positiv ,,"Målmandstræner for FC København Kim Christensen blev testet positiv for coronavirus i det obligatoriske tjek, som alle spillere og medlemmer af staben var igennem tirsdag, meddeler FC København.Alle øvrige test var negative.Kim Christensen oplever ingen symptomer og har været hjemme siden testen, ligesom resten af truppen havde fri onsdag.- Vi har fået testet alle tirsdag, som vi skal ifølge protokollen, og vi har fulgt de retningslinjer, der er, når en bliver testet positiv. Vi har også testet ekstra igen efterfølgende på eget initiativ, men heldigvis har vi ikke flere positive tests blandt spillere eller stab, siger cheflæge i F.C. København, Morten Boesen, til klubbens hjemmeside. Se også: Teenager sikrede FCK-sejrDen positive test kom bag på den 40-årige målmandstræner.- Jeg blev meget overrasket, da jeg fik testresultatet at vide, for jeg har det fint og har ingen symptomer. Jeg havde faktisk lige været ude at løbe ti kilometer, da jeg fik beskeden, men jeg stoler på testsystemet og tager de nødvendige forholdsregler.",5. jun. 2020
https://ekstrabladet.dk/nyheder/politik/danskpolitik/morten-oestergaard-om-trussel-jeg-risikerer-at-blive-ristet-og-gjort-til-grin/8150875,754,Morten Østergaard om trussel: 'Jeg risikerer at blive ristet og gjort til grin',,"En aftale om en klimaplan er centrum for en konflikt mellem regeringen og støttepartiet de radikale.Først sagde den radikale leder Morten Østergaard, at der ikke var nogen regeringen, hvis der ikke var en klimaplan med handling inden grundlovsdag 5. juni 2020. Siden er deadline for truslen udskudt på grund af coronakrisen til 26. juni.Ekstra Bladet konfronterede Morten Østergaard for at teste vægten bag truslen mod statsminister Mette Frederiksen (S).- Hvordan ser det ud i forhold til at vælte regeringen senere i eftermiddag?- Det er adskillige uger siden, vi sagde, at vi arbejder med klimaet helt frem til, at Folketinget går på sommerferie sammen med skolebørnene, siger Morten Østergaard.- Der er tid at løbe på endnu, og nu er der heldigvis også kommet gang i klimaforhandlingerne, så jeg er optimistisk.- Hvor står jeres ultimatum så nu?- Kravet er det samme. Vi skal inden sommerferien have lavet en aftale med markant CO2-reduktion i Danmark.- Det, der er spillet ud med, er for lidt, så vi skal have ambitionsniveauet op.- Hvis man truer med noget så alvorligt, som at vælte en regering, så er det vel vigtigt at få på plads, hvad det helt præcist er, som I kræver. Ambitiøs kan jo være hvad som helst, så hvad er det I vil have?- Vores krav er ikke opmålt i ton CO2. Vi går ind for, at vi har en regering, som tager store, ambitiøse, grønne beslutninger.- Man kunne jo tage halvdelen af de 18 millioner ton, som vi skal reducere vores udledning med frem mod 2030, og tage en beslutning om det nu. Vores mål er, at man kommer markant over det, som regeringen har spillet ud med.- Når du siger ultimatum og truer med at vælte regeringen, så får du opmærksomhed, og den bruger jeg så til at finde ud af, hvad du vil. Så hvad er kravet fra jer for ikke at vælte regeringen til sommer? Er det en beslutning om halvdelen af de 18 millioner ton co2 i år?- Jeg sætter ikke et ultimativt krav om et bestemt antal millioner. Men betingelsen for vores fortsatte opbakning til regeringen er, at der er en ambitiøs klimaaftale, og det regeringen har spillet ud med er ikke ambitiøst.- Du taler om krav, men bruger ord som ambitiøst og markant. Det er ligesom et stykke håndsæbe, som altid kan smutter derhen, hvor du gerne vil. Kan man bruge dit krav til noget som helst?- Da vi besluttede os for at gøre vores støtte til regeringen betinget af en klimaaftale inden sommerferien, der var der ikke udsigt til en klimaaftale. Det var ikke indkaldt til forhandlinger. Nu har vi fået et løfte fra statsministeren om, at der skal laves en klimaaftale, og vi har fået gang i forhandlingerne.- I sidste ende risikerer jeg at blive ristet og gjort til grin, hvis ikke vi når det inden sommerferien. Det er jeg villig til for at opnå det, jeg drømmer om. En meget ambitiøs klimaaftale med markant større co2-reduktion, end det som regeringen har spillet ud med. Så må vi se.Målingen 4. juni er fra Ritzau Index, der er et gennemsnit af fem politiske målings-institutter: Voxmeter, Epinion, Gallup, Greens og Norstat.- Du truer med at vælte regeringen og nyvalg, hvor de radikale ser ud til at blive mindre i meningsmålingerne. Er det realistisk, at du gør alvor af truslen?- Det har ikke en dyt med meningsmålinger at gøre. Det har noget at gøre med det mandat, som vi fik for et år siden og tilliden til politik. Vi kan ikke leve med at støtte en regering, som ikke lever op det klareste udkomme af valget: en ny grøn retning.- Du er ikke bange for at gøre dit parti ligegyldige, fordi de radikale ikke er nødvendige for et flertal i rød blok efter et valg?- Nej. Det eneste jeg er nervøs for, er at folk totalt mister tilliden til politik. OVERBLIK: Udpluk af grundlovstalerDagen igennem holder en lang række politikere taler på grundlovsdag. Læs udpluk af dem her:Traditionen tro flyder grundlovsdag over med talere fra politikere over det danske land.Se udpluk af dem her:* Statsminister Mette Frederiksen (S):- Jeg har aldrig nogensinde i mit liv været så meget i tvivl, som i det her forår. Som i den her krise vi lige har været igennem. Dilemmaerne har været enorme. Det er de faktisk stadigvæk.- Men at vi handlede så hurtigt. Det er – tror jeg – den vigtigste politiske beslutning, jeg nogensinde har truffet.- De politiske forskelle – de vil selvfølgelig igen træde tydeligere frem, ikke mindst når vi går i gang med genopretningen af dansk økonomi. Vi kommer med hvert vores udgangspunkt. Meninger brydes. Og det er grundlæggende sundt.- Men jeg vil gøre mit til, at vi stadigvæk efterstræber det brede politiske samarbejde. Jeg tror nemlig, at det gør resultaterne bedre. Og også mere holdbare. * Forsvarsminister Trine Bramsen (S) og MEP Christel Schaldemose (S) i en fælles tale:- Fordi vi har et stærkt demokrati, kunne vi handle resolut. Vi afværgede en potentielt stor krise.- Coronakrisen har ændret meget, men den har ikke svækket vores demokrati. Det er tværtimod kommet styrket ud af krisen. Tilliden til politikere og myndigheder er vokset.- Vi har en historisk mulighed for at finde det nye samlingspunkt for de europæiske lande. * Tidligere finansminister Claus Hjort Frederiksen (V)- Denne grundlovsdag fejres på en alvorlig baggrund. Vi er nu ved at genåbne samfundet. Det betyder, at vi igen skal sikre at vore frihedsrettigheder styrkes, samtidig med at vi skal forberede os på nye pandemier.- Det virker også som statsministeren selv hurtigt har vænnet sig til at træffe beslutninger uden om Folketinget. Nu hvor vi skal tilbage til en politisk hverdag må vi se om genindførelse af de demokratiske spilleregler giver statsministeren abstinenser. * Tidligere statsminister og formand for Venstre Lars Løkke Rasmussen (V):- Mit fromme ønske på grundlovsdag er derfor, at Folketinget snart fratager regeringen de helt ekstraordinære kompetencer og genskaber normaliteten i det politiske liv.- Jeg roser lige endnu engang – for en sikkerheds skyld – statsministeren for ekstraordinært og resolut lederskab på kanten af krisen.- (Der) er nu genskabt så meget kontrol, at der intet belæg er for, at en etpartiregering med afsæt i en fjerdedel af befolkningen skal have ekstraordinære og krigslignende beføjelser på alles vegne. * Tidligere finansminister og næstformand i Venstre Kristian Jensen (V):- Vi har brug for at vende tilbage til hverdagen. En lang række af vores frihedsrettigheder er sat ud af spillet. Retten til at mødes, samles, og fejre fødselsdage. Det er så nemt, at miste frihed, og det er så svært at få den.- Vi skal kæmpe for, at de bemyndigelser, som politikere og ministre nu har fået, bliver givet tilbage til dem, der skal have dem: Dig, mig, borgene og alle andre i dette her fantastiske land * Tidligere formand for Dansk Folkeparti Pia Kjærsgaard:- Vi har det seneste år oplevet en magtkoncentration uden sidestykke i den nyere danmarkshistorie.- Når vi taler folkestyre, er det også nødvendigt at tale om EU. I årevis har vi fået tudet ørerne fulde om betydningen af fælles løsninger, fælles valuta og åbne grænser. Så kom coronakrisen. Grænserne blev lukket. De ""forældede"" nationalstater måtte klare ærterne selv. EU var komplet bovlam.- Blev vi lidt for nævenyttige, og lidt for gode til at overvåge, om nogen havde sneget sig til Malmø for at købe ind eller gå på café? Vi skal smide frygten langt væk! Vi skal finde optimismen frem igen. Det er sådan vi kommer videre – både som mennesker og som fællesskab.",5. jun. 2020
