0,1,2,3,4,5
https://ekstrabladet.dk/nyheder/erhvervsnyheder/finanssektor-tidlig-pension-kan-koste-en-familie-1400-kroner-aarligt/8255497,523,Finanssektor: Tidlig pension kan koste en familie 1400 kroner årligt,"Hvis banker og realkreditter får ekstraregning på grund af regeringens pensionsplan, vil det koste kunderne","Regeringen lægger op til, at den finansielle sektor skal være med til at spytte i kassen for at finansiere planen om tidlig pension. Den ekstraregning risikerer imidlertid at blive sendt videre til kunderne, som kan ende med en årlig ekstraregning på 1400 kroner for en almindelig familie. Det viser en analyse fra Finans Danmark, der er interesseorganisation for den finansielle sektor i Danmark. - Uanset hvordan man vender og drejer det, så kan en stor del af regningen ende hos kunderne. Og det er jo os alle sammen. - Hvis man overfører erfaringerne fra lignende skatter i udlandet, så risikerer en almindelig familie at se frem til en regning på 1400 kroner om året. - Det er ikke småpenge, siger Ulrik Nødgaard, administrerende direktør i Finans Danmark.Finansminister Nicolai Wammen (S) har set analysen fra Finans Danmark. Men han giver ikke meget for det tal, organisationen er kommet frem til. - Jeg må sige, at jeg ikke kan genkende det regnestykke, man er kommet frem til. Det kan Finansministeriet heller ikke, siger Nicolai Wammen.Fra ministeren er opfordringen til finanssektoren, at ekstraregningen ikke sendes videre til kunderne. Spørgsmål: Kan du ikke være nervøs for, at finanssektoren ikke lytter til opfordringen og alligevel sender regningen videre til kunderne?- Jeg synes, det vil være utroligt uklogt, hvis finanssektoren sender den her regning videre til deres kunder, siger Nicolai Wammen. - Man skal huske på, at da bankerne under finanskrisen var i store vanskeligheder, gik Danmark ind og hjalp dem igennem krisen. - Nu beder vi bankerne og den finansielle sektor om at give et beskedent bidrag til, at mennesker, der har knoklet, kan gå lidt tidligere på pension og under lidt bedre forhold, siger finansministeren. Regeringen fremlagde tirsdag sit meget imødesete pensionsudspil. Det skal sikre en ret til tidligere pension for udvalgte grupper. Bliver det vedtaget, vil det koste tre milliarder kroner årligt frem til 2025.Finansieringen skal blandt andet findes ved at tillægge finanssektoren en ny særlig selskabsskat på 1,5 milliarder kroner om året.På grund af coronakrisen vil regeringen først indføre skattestigningen fra 2023 frem mod 2025. Det skyldes, at coronakrisen har ramt dansk erhvervsliv hårdt. Finanssektoren mener dog, at den ikke vil være i stand til selv at kunne betale for skattestigningen fra 2023. Eksempelvis peger Ulrik Nødgaard på, at bankerne de senere år har haft faldende indtjening - blandt andet på grund af negative renter. Han fremhæver også, at udgifterne er steget til blandt andet bekæmpelse af økonomisk kriminalitet. - Hvis vi samtidig skal være i stand til at yde de lån, befolkningen og virksomhederne har brug for, er der ikke andre steder at sende størstedelen af regningen hen end til kunderne, siger Ulrik Nødgaard.Ekstraregningen til bankkunderne vil primært kunne komme til at ses ved rentestigninger på lån og tildels ved forhøjede gebyrer. ",20. aug. 2020
https://ekstrabladet.dk/sport/fodbold/landsholdsfodbold/topsponsor-suspenderer-dbu-aftale/8255351,15,Topsponsor suspenderer DBU-aftale,,"Arbejdernes Landsbank står ikke på fodboldlandsholdets trøjer, når Kasper Hjulmand for første gang samler sine tropper 31. august forud for de to kampe i Nations League mod Belgien og England.Det er konsekvensen af den nye kviklånslov, hvor banker og spiludbydere ikke må optræde sammen på hverken trøjer, sponsorvægge eller på bandereklamer.Loven trådte i kraft 1. juli, og selvom Arbejdernes Landsbank ikke formidler kviklån, er loven skruet sammen på en sådan måde, at det er bankerne, som straffes hårdest, hvis den nye lov ikke overholdes.Arbejdernes Landsbank har ellers stået på landsholdets trøjer siden sidste forår i forening med Oddset, som er den anden trøjesponsor i DBU.Men nu bliver det kun Oddset, der optræder på træningstrøjerne i forbindelse med de to forestående landskampe.",20. aug. 2020
https://ekstrabladet.dk/nyheder/samfund/corona-i-klassen-foraeldre-ekstremt-daarligt-stillet/8253946,120,Corona i klassen: Forældre ekstremt dårligt stillet,,"Børn og unge bliver på næsten daglig basis sendt hjem fra skoler og daginstitutioner, fordi en af klassekammeraterne er syge eller har symptomer på coronavirus.Senest onsdag er tre klasser på Engdalskolen i Brabrand blevet sendt hjem, efter at tre elever er testet positive for coronavirus. Her må de i alt 90 elever og 20 lærere først komme tilbage på skolen, når de har fremvist en negativ coronatest.Men hvordan er man som forældre stillet, hvis det ikke er ens egne børn, der er smittet med corona, og man blot afventer testsvar?Ifølge Fagbevægelsens Hovedorganisation, FH, er det op til forældrene selv at forsøge at skaffe alternativ pasning eller indgå aftaler med arbejdsgiveren om at arbejde hjemme, holde ferie, holde fri uden løn eller 'en anden kreativ løsning'.Det fremgår af fagforbundets hjemmeside.Tavse ministreOg det er ekstremt ringe, mener Forældrenes Landsorganisation (FOLA).- Hvis du har et sygt barn, er der stor forståelse for, at du er nødt til at blive hjemme. Men bliver du hjemme, fordi andre har et sygt barn, er der ingen rettigheder. Det er fair, at vi skal lukke ned og passe på under corona, men det er unfair, at man ikke kan kompensere forældre, der udviser samfundssind, siger formand Signe Nielsen til Ekstra Bladet.FOLA repræsenterer forældre med børn i dagpleje, vuggestuer, børnehaver og SFO. Og her har man ifølge formanden længe forsøgt at råbe politikerne op.- Det er et kæmpe økonomisk spørgsmål og pres for forældrene. Siden april har vi forsøgt at råbe regeringen op. Jeg har skrevet mails til erhvervsministeren og beskæftigelsesministeren, men der er ingen, der er vendt tilbage. Det er helt vildt, at de bare undlader at gøre noget, siger Signe Nielsen.'Fattigt' velfærdssamfundI maj kunne beskæftigelsesminister Peter Hummelgaard (S) oplyse, at 'regeringen ikke har aktuelle planer om at indføre en lovreguleret ret til fravær med ydelse i forbindelse med børns sygdom'.Siden da har Signe Nielsen intet hørt fra ministeren, og hun frygter, hvad der sker, hvis Folketinget ikke griber ind.- Er du SOSU, murer, sygeplejerske eller lignende, kan du ikke arbejde hjemmefra, og så risikerer man at blive pålagt at bruge sin ferie. Mange har allerede brugt deres afspadsering eller været tvunget på ferie og har ikke mere at give af. Hvad skal de så gøre? Sælge deres juleferie, som endnu ikke er optjent?, spørger Signe Nielsen.Forældrenes Landsorganisation foreslår at give fuld lønkompensation til de forældre, der er nødt til at blive hjemme hos syge eller hjemsendte børn. Alternativt skal forældrene kunne søge sygedagpenge.- Det er et fattigt velfærdssamfund, hvis forældre selv skal betale for at have deres børn hjemme, lyder det fra formanden.Minister indkalder til mødeOver for Ekstra Bladet anerkender beskæftigelsesminister Peter Hummelgaard (S), at situationen ikke er blevet lettere, nu hvor mange børn er startet i skole igen.'Jeg har stor forståelse for den svære situation, mange forældre står i - det kan være svært at få enderne til at nå sammen, når børn oven i al den almindelige sygdom sendes hjem fra institution for at undgå spredning af coronavirus. Og det er selvfølgelig en situation, der ikke er blevet lettere her efter sommerferie, hvor hverdagen er tilbage med arbejde og skolestart', skriver han i en mail.Ministeren har ingen løsningsforslag på blokken, men vil drøfte situationen med Folketinget.'I Danmark har vi den danske model med en lang og god tradition for, at det er arbejdsmarkedets parter, der fastsætter løn og arbejdsvilkår. Det gælder også for rettigheder til fravær, fx ved børns sygdom. Man kan også lokalt på arbejdspladser lave aftaler om fx hjemmearbejde, når det er muligt', skriver Peter Hummelgaard og tilføjer:'Når det er sagt, er vi åbne over for gode ideer til, hvordan vi kan hjælpe forældre i den svære situation. Det er bl.a. også derfor, at jeg vil invitere Folketingets partier til et møde, hvor vi drøfter situationen'.",20. aug. 2020
https://ekstrabladet.dk/ferie/tokyo-faar-gennemsigtige-toiletter-i-parken/8254775,124,Tokyo får gennemsigtige toiletter i parken ,,"I denne måned har to parker i Tokyo fået nye toiletter. Og det er ikke hvilke som helst toiletter. De er nemlig omgivet af farvet, gennemsigtigt glas, der lyser op som lanterner i parkerne om aftenen. Det skriver CNN. Men ud over at pynte med et smart look, ER designet faktisk smart.- Der er to ting, vi bekymrer os om, når vi skal besøge et offentligt toilet, navnlig når det ligger i en park. Den første er renhedsgraden, den anden er, hvorvidt der er optaget, skriver Shigeru Ban, kreatøren bag de nye toiletter og prisvindende arkitekt, på hjemmesiden for Tokyo Toilet Project.Glasvæggene er designet således, at man udefra kan se, om toiletterne er potentielt rene og ledige. Men når man låser døren indefra, bliver de uigennemsigtige. Den, der er indenfor, kan dog ikke fornemme, at glasset bliver uigennemsigtigt, skriver CNN.Det er derfor yderst vigtigt, at man husker at låse døren. Desuden skal man være i stand til at gøre sine ting, alt mens man kan iagttage køen samle sig ude foran.Se også: Giftig fisk plager danske badegæsterDe farverige, gennemsigtige toiletter indgår i et større projekt om at ændre folks syn på de offentlige toiletter. Forskellige arkitekter er blevet sat til skabe anderledes designs for at ændre den gængse mening i Japan om, at de offentlige toiletter er mørke, beskidte, ildelugtende og skræmmende.For at komme disse misforståelser til livs har Nippon Foundation besluttet at renovere 17 offentlige toiletter beliggende i Shibuya, Tokyo, i samarbejde med Shibuya City-regeringen.Se også: Langt flere elefanter i Kenya",20. aug. 2020
https://ekstrabladet.dk/ferie/saa-taet-paa-katastrofen-airbus-a320-naer-koert-af-startbanen/8254288,27,Så tæt på katastrofen: Airbus A320 nær kørt af startbanen,,"16. september sidste år. Lissabon Lufthavn. En Airbus A320-200 fra EasyJet med rutenummer U2-1820. Kurs mod Manchester.Det begynder som en rutinemæssig afgang. De 167 passagerer befinder sig i lykkelig uvidenhed. Men i cockpittet opdager de to piloter snart, at noget ikke er, som det skal være. Da de inden for startbanens sidste 900 meter ser de røde og hvide tærskellys, der markerer banens begyndelse og ende, indser de, at der er sket en fejl. Og den kan blive fatal. Katastrofen lurer på passagerer og besætningsmedlemmer.Piloterne har beregnet startpræstationen, altså faktorer som eksempelvis tryk, temperatur og vægt, der spiller ind på flyets start, fra bane 21. Men da de stævner ud, vælger de imidlertid at køre ind på startbanen via taxavej U5. Herefter accelererer den store maskine. Og som den stormer frem over banen for at lette, rykker bane-enden faretruende tæt på med hastige skridt.Faktisk så tæt, at dækkene slipper startbanen kun 110 meter fra bane-enden og krydser banetærsklen i kun 10 meters højde.Det skriver Check-in.173 mennesker var 1,3 sekunder fra at køre ud over asfalten ved baneenden med minimum 200 km/t, for piloterne havde valgt en forkert taxavej ind på startbanen.Se også: Aftale kan redde jobbet for knap 1000 piloterFejl begået førDen britiske havarikommission, AAIB, har nu gennemgået hændelsen i en rapport, hvori det fremgår, at flere faktorer spillede ind på den uheldige episode.Piloterne indtastede ved en fejl den forkerte længde på startbanen før afgang, hvilket i sidste ende førte til, at de brugte den forkerte taxavej ind på startbanen, der viste sig at være langt kortere end først antaget, skriver Check-in.Rapporten beskriver endvidere, at adskillige afbrydelser, heriblandt en syg passager, ændring i brændstofbehovet og en sen ændring til fragttallene, kan have påvirket piloterne.Ifølge rapporten forekom lignende fejl imidlertid to gange tidligere i 2019. Som konsekvens heraf er banemærkningen i Lissabon blevet ændret, så flyene ikke længere kan lette fra forskellige positioner langs startbanen, skriver Check-in.Heldigvis gik det ikke galt. Passagerer og besætning ankom i Manchester som planlagt, og de to piloter kunne tørre sveden af panden.Se også: Flyselskab: - Lad de raske rejse",20. aug. 2020
https://ekstrabladet.dk/sport/cykling/voldsom-kritik-fuldstaendig-uduelige/8254292,51,Voldsom kritik: - Fuldstændig uduelige!,,"Cykelsæsonen har efter genstarten budt på flere flotte sejre, men også grufulde mareridt.Sæsonåbningen har været præget af flere voldsomme styrt, der kunne have været endt på den værst tænkelige måde for nogle af cykelsportens største stjerner.Hele cykelverdenen holdt vejret i dagene efter Fabio Jakobsens voldsomme styrt i Polen Rundt, der sendte hollænderen i respirator. Han er senere vågnet, men er hårdt medtaget af alvorlige skader i ansigtet, der har krævet flere timelange operationer.I kølvandet på ulykken har flere ryttere og sportsdirektører råbt op: Hvis der ikke gøres noget for rytternes sikkerhed, kan vi ende med at se flere lignende ulykker, er budskabet.En af stemmerne tilhører Brian Holm, der er sportsdirektør ved det belgiske cykelhold Deceuninck-QuickStep. Hans mandskab har inden for den seneste måned haft tre alvorlige ulykker, hvor sikkerheden for rytterne ikke har været god nok.Han mener, at hovedansvaret ligger hos cykelsportens hovedorganisation, UCI. Deres fokus er dog i følge ham et helt andet sted.- Det må være UCI's ansvar at sikre, at rytterne ikke kommer til skade. Vi har en UCI-præsident, der går mere op i længden på cykelsokkerne end rytternes sikkerhed, fortæller han til Ekstra Bladet, og refererer til reglen om, hvor lange rytternes sokker må være under løb.Artiklen fortsætter under billedet:",20. aug. 2020
https://ekstrabladet.dk/sport/anden_sport/tennis/to-spillere-i-us-open-boble-i-coronakarantaene/8255436,0,To spillere i US Open-boble i coronakarantæne,US Open forsøger at skabe et coronafrit miljø omkring turneringen. En person er dog allerede smittet,"To tennisspillere inden for den såkaldte US Open-boble er blevet sendt i karantæne og må droppe turneringen Western & Southern Open efter kontakt med en coronasmittet.Det skriver nyhedsbureauet AFP.Repræsentanter for turneringen har annonceret karantænerne, en dag efter at de fandt ud af, at en person inden for boblen har været smittet.Den smittede, som ikke er tennisspiller, er sendt i isolation i ti dage. Men kontaktsporing har vist, at to spillere har været i 'tæt og langvarig kontakt' med den smittede.Boblen er et forsøg på at skabe et kontrolleret og coronafrit miljø omkring grand slam-turneringen US Open samt turneringen Western & Southern Open, som spilles umiddelbart inden og begynder torsdag.Selv om turneringerne ikke selv har sat navne på de karantæneramte spillere, har argentinske Guido Pella og Hugo Dellien fra Bolivia begge lavet opdateringer på sociale medier, hvor de oplyser, at de er de omtalte spillere.Deltagerne, som er en del af boblen, testes før indrejse i USA og mellem en og to gange om ugen under begge turneringer.De vil også få taget deres temperatur på daglig basis og er underlagt en række coronarestriktioner.Samtidig er der indrettet et system med forskellige grupper inden for boblen, der skal minimere kontakt mellem forskellige grupper og smittespredning.Det skriver nyhedsbureauet Reuters.En række af sportens største stjerner har som følge af virusudbruddet valgt at droppe grand slam-turneringen i New York City, der begynder 31. august.Det gælder på kvindesiden prominente navne som Simona Halep, Ashleigh Barty, Bianca Andreescu, Elina Svitolina, Belinda Bencic og Kiki Bertens.På herresiden har Rafael Nadal meldt afbud. Det samme har blandt andre Nick Kyrgios og Stan Wawrinka, mens Roger Federer har meldt afbud på grund af en knæskade.",20. aug. 2020
https://ekstrabladet.dk/nyheder/videnskab_og_teknik/mands-tarme-gjorde-ham-fuld-reddet-af-datterens-lort/8255010,36,Mands tarme gjorde ham fuld: Reddet af datterens lort,,"En 47-årig belgisk mand, som var ramt af den sjældne sygdom ’Auto-brewery-syndrome’ (ABS), hvor tarmen selv laver alkohol, er blevet kureret ved hjælp af ’fækal transplantation’. Det skriver Science Alert ifølge Videnskab.dk.ABS forårsages af svampemikrober i maven, som omdanner kulhydrater til alkohol.Alle mennesker har små mængder af disse mikrober, men hvis tarmbalancen ændres, kan bestanden af alkoholproducerende mikrober løbe løbsk.Læs mere på Videnskab.dk: Skal min afføring flyde eller synke til bunds?Efter en antibiotikabehandling var det præcis, hvad der skete for den belgiske mand, hvis alkoholkoncentration i blodet steg til 17 gange normalen, skriver Science Alert ifølge Videnskab.dk.Det svarer til cirka det dobbelte af, hvad loven i Danmark (og Belgien) tillader, når man kører bil, og staklen mistede da også sit kørekort på grund af spritkørsel.Normalt behandles ABS med anti-svampemedicin og en kostændring, hvor kulhydrater skæres fra, men mandens mikrober viste sig at være særlig resistente.Derfor tyede lægerne til fækal transplantation, en ny og lovende metode til at behandle diverse mavelidelser, hvor man importerer tarmflora fra et andet menneske.Læs mere på Videnskab.dk: Hvad er mest usundt: Stoffer, alkohol eller cigaretter?Metoden var aldrig før prøvet som behandling mod ABS, men det viste sig, at behandlingen virkede. Den nye tarmflora blev doneret af mandens 22-årige datter.Den belgiske mand bliver nu, igen, kun fuld, når han selv drikker alkohol, og han har fået sit kørekort tilbage.Lægerne, der udførte operationen, forventer, at fækal transplantation i fremtiden kan blive standardbehandlingen for ABS, skriver Science Alert ifølge Videnskab.dk. Andre artikler på Videnskab.dkHvorfor smager øl bedre fra flaske?5 ting du skal vide om tarmbakterierHvorfor kan asiater ikke tåle alkohol? ",20. aug. 2020
https://ekstrabladet.dk/sport/anden_sport/tennis/wozniacki-scorer-nyt-job/8255306,138,Wozniacki scorer nyt job,,"'Jeg håber at se tennisfamilien igen,' lød det, da Caroline Wozniacki i Melbourne i januar leverede sin afskedstale og lagde ketcheren på hylden. Nu bliver det håb opfyldt.Således er den danske tidligere tennisdarling blevet hyret til at levere ekspertanalyser til ESPN's dækning af dette års US Open, der løber af stablen 31. august ved banerne på USTA Billie Jean King National Tennis Center i New York City. Et sted, hvor Wozzy selv har lejlighed.Nyheden præsenteres af en anden af ESPN's tenniseksperter Darren Cahill på Twitter, der tidligere som træner hos Adidas har haft med Caroline at gøre, men senest har gjort sig kendt som ham, der har ført Simona Halep frem,Her præsenterer han holdet, som danskeren bliver en del af, og det er ikke ubekendte hoveder, der popper frem. Wozniacki skal blandt andet arbejde side om side med tidligere stjerner som James Blake og John McEnroe.Artiklen fortsætter under opslaget ...Fra ekspertstolen i New York kan Wozniacki se til, når hendes gode veninde Serena Williams skal forsøge at vinde sin 24. Grand Slam, hvilket vil tangere Margaret Smith Courts rekord.US Open gennemføres i år under helt særlige omstændigheder på grund af coronakrisen, og mange af de bedste ikke-amerikanske spillere har meldt fra til begivenheden, der afvikles uden tilskuere.",20. aug. 2020
https://ekstrabladet.dk/nyheder/politik/danskpolitik/obama-praesidentskabet-er-endnu-et-reality-show-for-trump/8255437,850,Obama: Præsidentskabet er endnu et reality-show for Trump,"Konsekvenserne af Trumps fiasko som præsident er enorme, siger Barack Obama på Demokraternes partikonvent","Donald Trump behandler præsidentembedet som endnu et af sine reality-shows, der kan give ham den opmærksomhed, han higer efter.Det siger tidligere præsident Barack Obama på Demokraternes partikonvent, der i år foregår virtuelt grundet coronapandemien, tidligt torsdag morgen dansk tid.Obama kritiserer Trump for at være ude af stand til at 'tage jobbet alvorligt'.- For vores lands skyld håbede jeg, at Donald Trump måske ville vise interesse i at tage embedet alvorligt. At han måske ville mærke vægten af embedet og vise en vis form for ærbødighed for det demokrati, der er blevet placeret i hans hænder, siger Barack Obama.- Men Donald Trump er ikke vokset med opgaven, for det er han ikke i stand til, tilføjer han.Obama peger på, at konsekvenserne af Trumps fiasko som præsident har været 'enorme', og nævner de over 170.000 amerikanere, der har mistet livet som følge af coronavirus, og de millioner af jobs, der er gået tabt under pandemien.- Vores værste anelser er blevet til virkelighed, vores stolte omdømme rundt om i verden er blevet voldsomt reduceret, og vores demokratiske institutioner er truet som aldrig før, siger han.Donald Trump skal op imod Joe Biden ved præsidentvalget 3. november. Biden var vicepræsident under Barack Obama fra 2008 til 2016.- Den empati, den anstændighed og troen på, at alle tæller - det er den person, Joe er, siger Obama.På Demokraternes konvent onsdag aften Washington-tid er senator Kamala Harris officielt blevet udnævnt som partiets vicepræsidentkandidat.Harris er datter af en jamaicansk far og en indisk mor.- Der er ingen vaccine mod racisme. Vi er nødt til at gøre arbejdet. For George Floyd. For Breonna Taylor. For de tabte liv, som der er for mange af til at kunne nævne her. For vores børn. For os allesammen, siger hun i sin takketale.På fjerde og sidste dag af konventet torsdag vil Joe Biden formelt acceptere nomineringen til at blive partiets kandidat ved præsidentvalget.",20. aug. 2020
