0,1,2,3,4,5
https://ekstrabladet.dk/flash/filmogtv/angrebet-af-hidsig-rotte-jeg-skreg/7832983,8,Angrebet af hidsig rotte: - Jeg skreg,,"Som deltager i 'Robinson Ekspeditionen' bliver du ikke kun budt på sult og benhårde konkurrencer. Den står også på vilde dyr, og et af dem gik til angreb på deltageren Jaffer Janjooa.Det fortalte udstemte Jess Høeg mandag til Ekstra Bladet, og nu sætter hovedpersonen ord på den grænseoverskridende oplevelse, hvor Hold Syd havde lagt sig til at sove på stranden beskyttet af myggenet.I nattens mulm og mørke kom dyrene frem. Og ét af dem, en hidsig rotte, kastede sin kærlighed på den i dag 30-årige Jaffer.- Vi ligger og sover i sandet. Jeg er en ret lang person, og jeg fylder lidt meget, så midt om natten strækker jeg mine ben og kan mærke, at der er noget, der kradser ved mine ben. Jeg tænker ikke over det, men så kan jeg mærke, at det begynder at krybe op ad mine ben og kommer længere op, griner Jaffer og fortsætter om det, der skulle udvikle sig til et decideret angreb.- Det er der, at jeg begynder at lave nogle 'uh uh'-lyde. Det er ret mørkt, men den springer så op imod mit hoved. Kenneth ligger til venstre for mig og Maria til højre. De ville ikke have den ind, så de begynder at trække myggenettet til sig. Ingen ville hjælpe, og jeg lavede nogle ret feminine lyde, inden jeg fik slået den ned mod mine fødder.Se også: Det ser du ikke på tv: Skrigene var frygteligeOg så skulle man tro, at det voldsomme møde mellem menneske og natur stoppede der. Men ifølge Jaffer havde den blodtørstige rotte ikke fået nok endnu.- Jeg kommer ud af mit myggenet og kan se, at den jagter mig langs jorden. Eller måske den bare skulle samme vej. De andre griner selvfølgelig af mig, men jeg ville ikke blive bidt af en rotte midt om natten, fortæller han om sin paniske reaktion.Slanger og fugleedderkopperDyr og kryb var i det hele taget noget, som deltagerne måtte lære at leve sammen med. Der var slanger, flagermus, rotter og taranteller( fugleedderkopper), som hyggede sig sammen med gruppen af selvrealiserende danskere.- Man kunne hele tiden høre noget, men det var meget mørkt. De kriblede omkring os, man kunne høre det i buskadset og på stranden. Man kunne høre dyr, der angreb hinanden. På den første ø tror jeg, at jeg så fem eller seks slanger på en meters afstand og taranteller i træerne. Vi blev meget kendte med, hvilke dyr der var.- Hvordan var det at leve i?- Jeg synes, det gav lidt mere til hele følelsen af at leve på en øde ø, så det var sindssygt fedt. Ellers havde det jo bare været som at opholde sig på en dansk strand. Det gjorde det hele mere ægte. Man bliver selvfølgelig også bange, når man ser taranteller på et træ, der står måske to meter fra, hvor man sover. Heldigvis var det kun rotten, jeg fik besøg af, griner han.Se også: DR løfter sløret: Nye detaljer om 'Robinson'-kopiJess Høeg blev stemt ud af ekspeditionens i mandagens afsnit, og han forklarede efterfølgende til Ekstra Bladet, at den stærke duo på Hold Syd, Jaffer og Kenneth, formentlig så det som nemmere at manipulere med Maria end ham selv.Men det var ikke årsagen til, at han røg, understreger Jaffer.- Det handlede om, at vi fra det gamle Hold Syd havde en aftale om, at vi skulle stå sammen, og at vi så os værdige. Så sker der det, at Jess og Henrik (fra det gamle Hold Nord, red.) bliver tætte, og det har jeg respekt for, men det er et spil, og jeg prøver at holde det personlige og taktiske adskilt. Vi havde en samtale om, hvem der skulle stemmes på, og der siger Jess det samme som os, men gør noget andet, forklarer Jaffer.",15. okt. 2019
https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/skandinavien/snedig-landskamp-finte-gyser-bliver-boerneforestilling/7831723,6,Snedig landskamp-finte: Gyser bliver børneforestilling,,"Kampen mellem Rumænien og Norge burde have været forbudt for børn. For der er EM-billetter på spil, og det spidser til i puljen, hvor der allerede har været uroligheder hos værterne.Opgøret tirsdag aften skulle af samme årsag oprindelig været spillet for tomme tribuner på grund af baneløbere, fyrkeværkeri og racistiske tilråb i forbindelse med EM-kampene mod Malta og Spanien.Udover en straf med to kampe uden tilskuere fik Rumænien en bøde på 620.000 kroner.Men UEFA har i 11. time givet det rumænske fodboldforbund dispensation, til at der kan lukkes børn under 14 år ind til kvalifikations-gyseren mod Norge i Bukarest. Hvis de unge vel at mærke er ledsaget af en lærer.Der forventes 30.000 børn fra hele Rumænien vil møde frem til den sene kamp på Arena Nationale i Bukarest. Efter to gange uafgjort mod Sverige og senest Spanien øjner Norge en mulighed for at overraske, hvis det kan blive til en sejr over Rumænien, fordi der sluttes mod Færøerne og Malta, så nordmændene kan ende på 19 point.Det kan vise sig at være nok, hvis resultaterne flasker sig, men det er trods alt mest sandsynligt, at enten Sverige eller Rumænien følger Spanien til EM. Sverige er på 14 point, mens Rumænien er på 13. Tre mere end Norges ti point.Se også: Norge spolerer spansk fest i overtiden",15. okt. 2019
https://ekstrabladet.dk/sport/fodbold/landsholdsfodbold/skandalen-eskalerer-oeverste-chef-gaar-af/7833034,229,Skandalen eskalerer: Øverste chef går af,,"Skandale-landskampen mellem Bulgarien og England har krævet et offer fra øverste instans.Præsidenten for Det Bulgarske Fodboldforbund, Borislav Mihailov, er gået af. Det skriver nyhesbureauet AFP.Dermed følger han den opfordring, som den bulgarske regering gav ham i kølvandet på de tragiske hændelser, der fandt sted under mandagens landskamp i EM-kvalifikationen.Her viste racismens grimme ansigt sig, da bulgarske tilhængere heilede, og der var meldinger om abelyde blandt  dele af hjemmepublikummet i Sofia.Kampen blev gennemført med en suveræn engelsk 6-0-sejr som resultat, men den kan både få et efterspil hos Det Europæiske Fodboldforbund (UEFA) og internt i Bulgarien.Sportsminister Krassen Kralev opfordrede tirsdag Mihailov til at gå af på direkte ordre fra landets premierminister, Boyko Borissov.Ifølge nyhedsbureauet dpa truede regeringen med at lukke ned for den økonomiske støtte til fodboldforbundet, så længe Borislav Mihailov var i spidsen.Nationalstadionet i Sofia var i forvejen lukket delvist for tilskuere, fordi UEFA havde straffet Bulgarien for racisme i forbindelse med kampene mod Kosovo og Tjekkiet i juni.Den engelske landsholdsspiller Raheem Sterling kvitterede for regeringens beslutning i et opslag på Twitter.- En rigtig godt træk, det må man give dig, hr. Borissov, skriver han på Twitter i et opslag, der indledes af en emoji med et håndtryk.",15. okt. 2019
https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/international_fodbold/afsloerer-bizart-exit-koebte-kager-til-alle-saa-blev-han-fyret/7833167,61,Afslører bizart exit: Købte kager til alle - så blev han fyret,,"Det er en bizar detalje fra torsdag 3. oktober, da Frank Arnesen blev fyret i Anderlecht.- Jeg havde fødselsdag om mandagen, og så er det kutyme, at man giver kager til hele kontoret. Det er ret mange kager, og jeg ventede til om torsdagen, for der havde vi det ugentlig scoutingmøde med blandt andet vores Europamester Henrik Andersen, siger han i podcasten F.C. Arnesen.- Jeg havde de fem kasser kager med, som Kate havde bestilt. Vi havde møde kl. 11, og omkring en halv time før spurgte sportschefen Michael Verschueren mig, om jeg havde fem minutter.En kort samtale derefter var danskeren fortid som teknisk direktør.- Fem-ti sekunder inde i det møde, vidste jeg, at mine dage var talte, siger Frank Arnesen.",15. okt. 2019
https://ekstrabladet.dk/flash/udlandkendte/hver-nat-laaste-harry-styles-doeren-til-sit-sovevaerelse/7832779,18,Hver nat låste Harry Styles døren til sit soveværelse,,"En 26-årig hjemløs mand er blevet kendt skyldig i stalking, efter han i månedsvis opholdt sig ude foran tidligere One Direction-medlem Harry Styles hjem i London i marts. Det skriver Independent.Tilbød at købe madIfølge Styles startede stalkingen, da han en dag tilbød den hjemløse, hvis navn er Pablo Tarzaga-Orero, at give ham nogle penge, så han kunne købe noget mad eller leje et hotelværelse. Dagen efter købte Styles et måltid til manden fra en vegansk café. Det gjorde han, fordi han med egne ord blev 'trist af at se en så ung person sove under så hårde forhold'. Da Tarzaga-Orero fik tilbudt måltidet, spurgte han Styles, om de kunne gå på restaurant, hvilket Styles i retten forklarede, at han fandt 'en smule besynderligt'.'Hans ansigtsudtryk gjorde mig en smule utilpas,' sagde Styles. Kastede sig mod hamEfterfølgende begyndte Tarzaga-Orero at skrive noter og lægge dem i sangerens postkasse. I retten beskrev den 25-årige musiker, at mandens opførsel blev 'uberegnelig og skræmmende', og at han begyndte at låse døren til sit soveværelse hver nat, efter det gik op for ham, at han blev forfulgt. Situationen eskalerede i maj, hvor den hjemløse angiveligt skulle have kastet sig mod Styles og forsøgt at gribe fat i ham i Regents Park. 'Jeg er ikke forelsket'Da Tarzaga-Orero i retten blev spurgt, om han stalkede Styles, svarede han, at det aldrig havde været hans intention.'I sidste ende ville jeg bare gerne have den penge, han havde tilbudt mig. Jeg har ikke nogen følelser involveret. Jeg er ikke forelsket i ham,' sagde han.",15. okt. 2019
https://ekstrabladet.dk/sport/cykling/stor-forandring-brutal-tour-rute-offentliggjort/7833081,40,Stor forandring: Brutal Tour-rute offentliggjort,,"Bjergrytterne skal have smurt kæden fra start i næste års udgave af Tour de France, der begynder i Sydfrankrig.Ruten blev tirsdag præsenteret i Paris, og allerede på 2. etape skal feltet op ad tre stigninger og 3700 højdemeter i området omkring Nice.Den første uge, der tidligere var reserveret til sprinterne, byder på to bjergafslutninger i et forsøg på at lokke de store navne tidligt i aktion.- Vi har forsøgt at gøre det så spændende som muligt, men det er rytterne, der skaber løbet, siger løbsdirektør Christian Prudhomme ifølge nyhedsbureauet AFP.Der er altså lagt op til en Tour, der skal favorisere bjergryttere, ligesom det var tilfældet i den seneste udgave af det franske etapeløb, der blev vundet af den colombianske klatrer Egan Bernal.I alt rummer Tour de France-ruten otte deciderede bjergetaper og 29 stigninger i fem forskellige bjergområder, og bjergene er spredt ud over hele løbet.Seks etaper slutter på toppen af en stigning, men Tour-fans kommer til at kigge langt efter de mest sagnomspundne bjerge.Hverken Alpe d'Huez, Mont Ventoux, Col du Tourmalet eller Col du Galibier er en del af løbet næste år.Ruten indeholder kun én enkeltstart, som tilmed slutter på toppen af den seks kilometer lange La Planche des Belles Filles, der byder på sektioner med voldsomme stigningsprocenter.Den 36 kilometer lange tidskørsel er placeret på løbets næstsidste dag, og det er her, næste års vinder vil blive fundet, inden Touren slutter på traditionel facon med paradeetapen til Champs-Èlysèes i Paris.De 21 etaper strækker sig over i alt 3470 kilometer. Den 218 kilometer lange 12. etape er løbets længste.Løbet bliver 107. udgave af Tour de France. Det begynder 27. juni i Nice og slutter i Paris 19. juli.",15. okt. 2019
https://ekstrabladet.dk/nyheder/samfund/se-billederne-koebenhavns-bredeste-cykelsti-er-aabnet/7832977,161,Se billederne: Københavns bredeste cykelsti er åbnet,,"Københavns bredeste cykelsti er tirsdag formiddag åbnet på Dybbølsbro.Cykelstien er ti meter bred og skubber således Dronning Louises Bro af førstepladsen som den bredeste cykelsti.Stien er blevet lavet for at skabe plads til de 21.000 cyklister og 13.000 fodgængere, som hver dag går eller cykler ad ruten.'I årevis har Dybbølsbro været underdimensioneret i forhold til de store mængder af gående og cyklende, som tager turen over broen,' siger teknik- og miljøborgmester Ninna Hedeager Olsen (EL) i en pressemeddelelse.'Nu har vi endelig fået forbedret kapaciteten, hvilket giver en langt bedre hverdag for de titusindvis af cyklende og gående, som anvender Dybbølsbro.'Artiklen fortsætter efter billedet ... Vækker stor begejstringHos Cyklistforbundet vækker åbningen af den brede cykelsti begejstring.- Vi kan dårligt få armene ned, siger formand Erik Hjulmand til Ekstra Bladet.    .article-widget-bodytext--facts{padding-top:0;padding-bottom:0}.article-widget-header--facts{font-size:30px;text-align:left}.facts-bg--white{border:1px solid #e5e5e5}.facts-coverup{position:absolute;left:0;right:0;bottom:0;height:60%;border-radius:5px}.article-widget--facts img{height:auto;width:100%}.cb-expand:checked~.transition-expand .facts-coverup{opacity:0;height:0}.facts-coverup--eb{background:-webkit-gradient(linear,left top,left bottom,from(rgba(189,17,24,0)),to(#bd1118));background:linear-gradient(rgba(189,17,24,0),#bd1118)}.facts-coverup--graa6{background:-webkit-gradient(linear,left top,left bottom,from(hsla(0,0%,89.8%,0)),to(#e5e5e5));background:linear-gradient(hsla(0,0%,89.8%,0),#e5e5e5)}.facts-coverup--black{background:-webkit-gradient(linear,left top,left bottom,from(transparent),to(#000));background:linear-gradient(transparent,#000)}.facts-coverup--white{background:-webkit-gradient(linear,left top,left bottom,from(hsla(0,0%,100%,0)),to(#fff));background:linear-gradient(hsla(0,0%,100%,0),#fff)}En lunken åbningDer var en lunken stemning ved åbningen af Københavns bredeste cykelsti, som Ekstra Bladet var til stede ved.Der var således ikke særligt mange cyklister til at indvie stien, og få af dem takkede ja til den gratis kaffe, som blev uddelt i anledningen.Kaffen faldt dog i god jord hos flere af s-togspendlerne, som kom traskende op fra Dybbølsbro Station.På cykelstien stod personer i orange og neongrønne jakker klar til at dele flyers med cykelkort over byen ud til forbipasserende cyklister og fodgængere. ",15. okt. 2019
https://ekstrabladet.dk/flash/filmogtv/se-datoerne-nye-afdeling-q-film-paa-vej/7833016,19,Se datoerne: Nye 'Afdeling Q'-film på vej,,"Filmatiseringerne af Jussi Adler-Olsens populære 'Afdeling Q'-bøger har været en stor succes i biograferne, og i de kommende år kan danskerne se frem til hele seks flere af slagsen.Allerede nu kan man hos producenten Nordisk Film bekræfte premieredatoen på de første fire, der starter med 'Marco effekten', og som kommer til at få premiere hvert andet år fra 2020 til 2026.Det skriver kino.dk.- Det er et kæmpe projekt, som vi glæder os enormt til at komme i gang med. De fire første film i serien har været kolossale succeser - og det bliver den næste film også, lyder det selvsikkert fra market director i Nordisk Film Distribution, Frederik Honoré, til filmsitet.",15. okt. 2019
https://ekstrabladet.dk/sport/betting/trav/28-millioner-til-syverne-fem-tipper-v75/7832138,0,28 millioner til syverne: Fem tipper V75,, ,15. okt. 2019
https://ekstrabladet.dk/nyheder/politik/danskpolitik/halvdelen-af-2.-gere-forbyd-kritik-af-religion/7832767,1339,Halvdelen af 2. g'ere: Forbyd kritik af religion,,"Nedsættende kommentarer om profeten Muhammed eller Jesus bør være forbudt.Det mener hele 48 pct. af efterkommere af indvandrere i Danmark, viser den årlige undersøgelse af nydanskeres medborgerskab.Det skriver Kristeligt Dagblad.Når efterkommere får spørgsmålet, 'hvor enig eller uenig er du i, at det bør være forbudt at kritisere religion', erklærer 48 procent af efterkommerne sig 'helt enig'. Det er lavere end for deres forældres generation. Indvandrere, der har opholdt sig i Danmark i minimum tre år er for 42 procents vedkommende enige.Tallet for etniske danskere er blot 20 procent. Se også: 12-årig tvunget til at fjerne hijab i lufthavnen Medborgerskabsundersøgelsen er en spørgeskemaundersøgelse blandt godt 2500 personer, som Udlændinge- og Integrationsministeriet står bag. Den er blevet udgivet siden 2012.Kristeligt Dagblad, der har set resultaterne af årets undersøgelse, beretter, at indvandrere og efterkommere også på andre områder om værdier har helt andre holdninger end etniske danskere.Når det drejer sig om homo-ægteskaber mener 28 procent af indvandrere og 24 procent af efterkommere, at de er moralsk forkerte. Blandt etnisk danske deltagere i undersøgelsen er tallet 11 procent.36 procent af indvandrere og 31 procent af efterkommere ser manden som familiens naturlige overhoved. Hos etniske danskere er det blot 10 pct., der har det sådan.Ifølge forkvinden for Rådet for Etniske Minoriteter, Halima El Abassi, bør tallene ikke ses som en overraskelse, da det kan hænge sammen med, efterkommere bliver mere religiøse end deres forældre, forklarer hun til Kristeligt Dagblad.- Når man står uden for samfundet, så kan religion blive et trækplaster for at få identitet og føle sig som en del af et fællesskab. Det er i sig selv ikke et problem – problemet opstår, hvis det er ens eneste tilhørsforhold. På den anden side har indvandrere (i modsætning til efterkommere, red.) i mindre grad forventet at blive en del af det danske samfund, og de føler sig derfor ikke på samme måde ekskluderet, siger Halima El Abassi til avisen.",15. okt. 2019
