0,1,2,3,4,5
https://ekstrabladet.dk/flash/pinlig-silas-afsloerer-det-er-helt-aandssvagt/7882018,41,Pinlig Silas afslører: - Det er helt åndssvagt,,"At samle flasker er slet ikke kun forbeholdt romaer eller andre, der mangler en ekstra skilling på lommen.Det kan danser Silas Holst skrive under på. Under sin medvirken i aftenens afsnit af 'Riising Late Night' på Kanal5, fortæller 'Vild med dans'-stjernen, at han selv har omvendt sig til at blive en habil pantsamler:",20. nov. 2019
https://ekstrabladet.dk/vin/vinnyheder/klassisk-vinauktion-slaar-rekord/7882115,0,Klassisk vinauktion slår rekord,,"Der blev i årets udgave af Hospices de Beaune auktionen solgt for mere end 90 mio. kr. Det er en smule mindre end i 2018, men antallet af fade var også 30% lavere grundet en lille høst i 2019. Gennemsnitsprisen for et fad endte derfor i rekordhøje 163.000 kr. Det er den højeste gennemsnitspris for et fad nogensinde og 29% større end sidste år. Der kan aftappes 288 flasker fra et fad hvilket altså giver en gennemsnitspris på 566 kr. En pris uden skat, moms og avance!I alt 471 fade rødvin og 118 fade med hvidvin var under hammeren i år. Negocianter stod for omkring 69% af de købte fade og resten gik til private købere. Auktionens dyreste fad er altid La Pièce du Président 'Præsidentens fad'. Fadet gik for en pris på 1.9 mio. kr. for et fad af Corton grand cru ‘Les Bressandes’. Fadet blev købt af en brasiliansk køber. I den almindelige auktion blev det dyreste et 456-liters fad med Bâtard-Montrachet Grand Cru ‘Cuvée Dames de Flandres’ som blev solgt for omkring 1 mio. kr. Men også et fad med Clos de la Roche Grand Cru blev solgt for 970.000 kr.Auktionen er vigtig for netop prissætningen af den nye årgang fra Bourgogne. Mange af de store negocianter benytter auktionen som pejlemærke for efterspørgslen og priserne. Man kan derfor som udgangspunkt godt forvente en prisstigning på 20-30% på 2019 årgangen når den i løbet af 2020 og 2021 frigives til salg.Auktionen er et velgørenheds-arrangement og støtter en række lokale velgørenhedsorganisationer.Kom til Franske Vindage 28. + 29. februar - læs mere her.Kom til Italiensk vinfestival d.27+28 marts - læs mere her.",20. nov. 2019
https://ekstrabladet.dk/nationen/vil-laase-nye-asylsoegere-inde-et-klart-signal/7882063,184,Vil låse nye asylsøgere inde: Et klart signal,,"- Ikke et ord fra DR om om ulovligheden af at spærre asylansøger inde.Sådan skriver Lenze M i en Facebook-kommentar om den nyvalgte konservative græske regering, der i dag har meddelt at de vil lukke de tre største migrantlejre på de græske øer, der ligger nær Tyrkiets kyst i Det Ægæiske Hav, og etablere nye lukkede lejre. Se også: Heldig bådflygtning: Vagter skar de stive penisser afKlart signalBeslutningen om at lukke lejrene sker ifølge nyhedsbureauet Reuters, fordi regeringen ønsker at have bedre styr på migrationen til landet. Og vilkårene i de nye lejre bliver markant barskere end i dag. Det bliver nemlig forbudt for migranter i de nye lejre at bevæge sig frit ud og ind af de nye lejre.- De kan ikke bare rejse rundt i landet uden begrænsninger.Lad vær med at brug penge på menneskesmugling- De bør indse, at hvis de giver penge til en menneskesmugler, så er det penge, som vil være tabte, siger Stelios Petsas,  talsmand i den græske regering , ifølge nyhedsbureauet Reuters, der også kan fortælle at asylsøgerne ført bliver lukket ud indtil de enten tildeles flygtningestatus og sendes til det græske fastland, eller indtil de bliver afvist og sendt tilbage til Tyrkiet:- Vi vil gerne sende et klart signal til dem, der skulle planlægge eller overveje at komme ulovligt til landet, siger den græske regerings talsmand, men hvad siger du?  ",20. nov. 2019
https://ekstrabladet.dk/nyheder/samfund/maersk-skal-forklare-sig-over-for-myndighederne/7882041,101,Mærsk skal forklare sig over for myndighederne,,"Miljøstyrelsen går nu ind i en sag, hvor den hæderkronede danske virksomhed Mærsk har skiftet flag på fire af sine skibe. Skibene sejlede før flagskiftet under dansk flag, men flagene blev udskiftet fra Dannebrog til Hongkongs i sommeren 2018. Efterfølgende kunne de fire skibe, Clara, Claes, Cecilie og Thomas Maersk, lovligt blive ophugget i Indien. Det ville de ikke kunne, hvis de havde sejlet under dansk flag. EU indførte en lov, der trådte i kraft 1. januar 2019, som forbyder skibe, der sejler under flag fra lande i EU, i at blive ophugget på ikke EU-godkendte værfter.Det skriver Shippingwatch.Mærsk har tidligere kritiseret reglerne og har ifølge Shippingwatch tidligere meldt ud, at de var klar til flage skibe om, så de fortsat kunne bruge Indien, når de gamle skibe havde udtjent værnepligten.Det har de dog ifølge mediet hverken be- eller afkræftet er tilfældet i denne sag.Men nu kræver Miljøstyrelsen svar fra Mærsk.'Miljøstyrelsen har taget kontakt til Mærsk for at få klarlagt fakta i sagen. Miljøstyrelsen forventer at få svar primo denne uge, hvorefter styrelsen vil vurdere svaret,' skriver styrelsen til Shippingwatch.Og fortsætter:'Hvis der er mistanke eller bevis for omgåelse af reglerne, kan Miljøstyrelsen overdrage sagen til politiet med henblik på politiets videre efterforskning og retsforfølgelse,' skriver styrelsen videre til Shippingwatch.",20. nov. 2019
https://ekstrabladet.dk/nyheder/politik/trumps-ven-indroemmer-blokerede-for-hjaelp-til-ukraine/7881958,947,Trumps ven indrømmer: Blokerede for hjælp til Ukraine,"Trump blokerede for hjælp til Ukraine for at presse politiske ledere i Kijev, siger USA's ambassadør i EU","USA's ambassadør i EU, Gordon Sondland, bekræfter onsdag i en høring i Kongressen, at han har et klart indtryk af, at præsident Donald Trump blokerede for hjælp til Ukraine.Det skete i et forsøg på at presse politiske ledere i Kijev til at undersøge forhold om demokraten Joe Biden. Dette skulle ske for at at finde mulige oplysninger, som ville kunne skade Biden i den igangværende valgkamp mod Trump.Trump anklages for at have forsøgt at presse Ukraines regering til at undersøge Joe Biden og dennes søn Hunter Biden, der i 2014 tog imod en højt betalt stilling i et ukrainsk energikonsortium.Artiklen fortsætter under billedet ...",20. nov. 2019
https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/holland/officielt-frank-arnesen-scorer-topjob/7882004,60,Officielt: Frank Arnesen scorer topjob,,"Rygterne har svirret den seneste tid, men nu er det helt officielt. Den tidligere danske landsholdsspiller Frank Arnesen bliver ny teknisk direktør i Feyenoord.Det bekræfter den hollandske klub på sin hjemmeside.- Feyenoord er en fantastisk klub, men det er ikke kun derfor, at jeg ser frem til at arbejde i Rotterdam. Tidspunktet føles bare rigtigt, lyder det fra Frank Arnesen. På hjemmesiden oplyses det desuden, at Arnesen starter i midten af januar, hvor han overtager tjansen fra Sjaak Troost, der har haft jobbet midlertidigt.- Et blik på Franks CV siger alt. Han er en person med mange års erfaring i store europæiske klubber og i forskellige stillinger. Han har øje for ungdommen og kommer med et kæmpe netværk. Frank Arnesen har al den viden og de færdigheder, der skal til for at opbygge en sikker fremtid for Feyenoord, siger bestyrelsesformand Toon van Bodegom.I kriseKlubben er en af Hollands absolut største, men ligger noget skuffende på en 10. plads i den bedste hollandske liga, Æresdivisionen. De dårlige resultater fik cheftræner Jaap Stam til at smutte i slutningen af oktober, hvorfor rutinerede Dick Advocaat nu står med ansvaret for at få Feyenoord tilbage i toppen af hollandsk fodbold. I sidste sæson blev det til en tredjeplads efter Ajax og PSV Eindhoven.I Feyenoord kan Frank Arnesen desuden se frem til en smule dansk selskab. Landsholdsangriberen Nicolai Jørgensen er således blandt profilerne i truppen.Frank Arnesen blev for få måneder siden fyret fra en lignende stilling i belgiske Anderlecht. Inden da har han været i ledende stillinger i en lang række klubber. Heriblandt storklubber som PSV Eindhoven, Tottenham, Chelsea og Hamburger SV, mens det også er blevet til kortere ophold i ukrainske Metalist Kharkiv og græske PAOK.63-årige Arnesen nåede 52 landskampe for Danmark fra 1977-1987 med 14 scoringer til følge. Som aktiv spillede han blandt andet i Ajax, Valencia, Anderlecht og PSV Eindhoven. Se også: Frustreret over Arnesen: Missede stjernetrio  Se også: Grim overraskelse for DelaneySe også: Hareide vil være norsk landstræner",20. nov. 2019
https://ekstrabladet.dk/sport/fodbold/landsholdsfodbold/hareide-vil-vaere-norsk-landstraener/7881848,50,Hareide vil være norsk landstræner,"Hvis svenske Lars Lagerbäck ikke forlænger sin aftale med det norske landshold, er norske Åge Hareide interesseret. Det siger han nu","Danmarks landstræner hedder Åge Hareide frem til og med EM-slutrunden, hvorefter Kasper Hjulmand overtager jobbet.Norges landstræner hedder Lars Lagerbäck frem til 31. december, og skulle nationen via Nations League booke billet til EM, tager Lagerbäck formentlig også EM med. Men derefter kan det være, at han siger stop, til trods for at det norske fodboldforbund ønsker at forlænge.Svaret på det skal findes i Lars Lagerbäcks alder. 71 år. Han taler nemlig om, at helbredet kan sætte en stopper for trænerkarrieren. Derfor tøver han for tiden med at forlænge. Og det kan så åbne for 66-årige Åge Hareide, der altså bliver ledig til sommer.- Nu tror jeg, Lagerbäck vil forlænge. Det håber jeg. Han har været rigtig god for Norge og kan sandsynligvis være god i to år mere, siger Åge Hareide til norske NRK.Det norske medie spørger så Hareide, om jobbet havde været interessant for Hareide, hvis Lagerbäck ikke ville forlænge. Og svaret er klart fra Danmarks landstræner.- Ja, det havde det absolut.Åge Hareide kvalificerede mandag aften Danmark til endnu en slutrunde, da han spillede 1-1 i Irland. Dermed er Danmark klar til den anden af to mulige slutrunder med Åge Hareide i spidsen.Han fortæller også til mediet, at han gerne ville have haft to år yderligere som dansk landstræner.- Med tanke på det, vi har leveret, har vi jo gjort arbejdet færdigt. Jeg tror, der ryger noget af kontinuiteten nu, og jeg havde alligevel kun tænkt mig at tage to år yderligere, siger den danske landstræner om det forestående trænerskifte hos Danmark.Åge Hareide har været i spidsen for det danske landshold siden foråret 2016.Hareide har en gang tidligere været norsk landstræner - det var han fra 2003 til 2008. Se også: Grim overraskelse for Delaney Se også: Midt i triumfen: Hareide med ny kritik",20. nov. 2019
https://ekstrabladet.dk/ferie/japansk-hotelvaerelse-til-6-kroner-per-nat-der-er-blot-en-hage/7881349,66,Japansk hotelværelse til 6 kroner per nat: Der er blot én hage,,"Asahi Ryokan i byen Fukuoka i Japan, som også går under navne One Dollar Hotel, tilbyder værelser helt ned til 1 dollar per nat.Det er næsten for godt til at være sandt i Japan, som er kendt for at være et ret dyrt land at leve og rejse i. Men det er faktisk sandt, dog med én betingelse. Værelset bliver livestreamet på Youtube hele døgnet.Se også: Flypriser til fjerne rejsemål er rekordlaveDa den 27-årige Tetsuya Inoue begyndte at drive hotellet, som hans bedstemor ejer, så han, at der var brug for fornyelse for at tiltrække flere gæster. Antallet af overnatninger havde været faldende over en periode, og han spekulerede derfor på, hvordan han kunne drive forretningen i den nye internetbaserede økonomi. Det skriver CNN.Efter at en britisk youtuber havde boet på hotellet og nærmest livestreamet hele opholdet, fik Tetsuya Inoue ideen til det ekstremt billige hotelværelse. For med det kunne han nå ud til en ny målgruppe og samtidig få en ny indtjeningskilde fra Youtubes reklamer.Se også: Bjergbestiger livestreamer dødeligt faldI dag har gæster på hotellet derfor den mulighed, at de kan bo på et værelse for kun 100 japanske yen (omkring seks kroner) for en nat, hvis de går med til at hele opholdet bliver vist live på Youtube.Viser ikke toiletbesøg Det er dog nogle undtagelser ved live-streamingen. Det er for eksempel kun video, som vil blive vist. Lyden er slået fra, så folks private samtaler ikke er med. Gæsterne har også lov til at slukke lyset, og badeværelset er uden for kameraets rækkevidde.Artiklen fortsætter under billedet ...",20. nov. 2019
https://ekstrabladet.dk/sport/betting/trav/spilforslag-piraten-er-tilbage/7880252,0,Spilforslag: Piraten er tilbage,," Ekstra Bladets spilforslagBERGSÅKER OG SOLVALLA – ONSDAG 20. NOVEMBERV86 – Spilstop kl. 20.30V86-1: 6V86-2: 5-4-8V86-3: 6-7-13-4V86-4: 10V86-5: 1-5-7-11-13-15V86-6: 4-7-2-11-12V86-7: 3-1-2V86-8: 4270 kronerDagens sikre: Global Unlimited (6 i V86-1) har vist stor styrke og får ingen problemer med løbets 2640 meter. Hesten har gennem hele sæsonen leveret gode præstationer, og selv om startsporet kunne være bedre, tror jeg den løser opgaven.Dagens fidus: Girlpower Sisu (7 i V86-6) vandt en fin sejr senest efter et ikke alt for nemt løb. Hvis det leverer en lignende præstation, tror jeg den kan blive ubehagelig for modstanderne.Tips: Mogens Jensen",20. nov. 2019
https://ekstrabladet.dk/sport/fodbold/landsholdsfodbold/grim-overraskelse-for-delaney/7881746,36,Grim overraskelse for Delaney,,"Kun få minutter inde i skæbnekampen mod Irland ramte Danmark et seriøst bump på vejen mod EM.Midtbanefighteren Thomas Delaney, som altid er blandt Åge Hareides foretrukne, måtte udgå tidligt og se holdkammeraterne krige den hjem.Selv var han ved at blive rigtig skidt tilpas ude på sidelinjen, fordi det blev så spændende, og han hverken kunne gøre til eller fra. Heldigvis lykkedes det, og så kunne Dortmund-danskeren smile igen.Indtil nu.Delaneys skade er nemlig blevet undersøgt, og det viser sig, at han har beskadiget et ledbånd i anklen. Det holder ham ude i seks uger.",20. nov. 2019
