0,1,2,3,4,5
https://ekstrabladet.dk/biler/politiet-advarer-om-nyt-koekaos/8135268,146,Politiet advarer om nyt køkaos,,"Seks kilometers kø og op til to timers ventetid på at passere grænseovergangen fra Sverige til Danmark ved Øresundsbroen var virkeligheden søndag aften, da mange danskere, som angiveligt havde været på weekend på eksempelvis Bornholm, skulle tilbage til landet gennem Sverige.Nu advarer det danske politi mod, at det samme kan ske igen næste weekend.Det skriver DR.dk.Årsagen er, at det er pinse næste weekend, hvorfor rigtig mange danskere har fri om mandagen, 2. pinsedag, og politiet forbereder sig derfor på, at mange danskere vil benytte den lejlighed til at tage på mini-ferie.- Vi kan sagtens forestille os, at det sker igen i forbindelse med pinsen. Derfor er vi også i dialog med øresundsforbindelsen, og så må vi i fællesskab finde ud af, hvordan vi bedre informerer i forhold til at vælge andre rejseformer eller andre tidspunkter at rejse på, siger Jens Jespersen, der er ledende politiinspektør i Københavns Politi, til DR.Se også: Bilister og cyklister møder nu dette skiltFerietrafikanterTil DR fortæller Jens Jespersen, at politiet gætter på, at den massive ekstra trafik skyldes, at mange danskere havde benyttet Kristi Himmelfartsdagene til en smuttur til Sverige eller Bornholm.Samme melding kom Johan Borglin Ørsundbrons Trafikcenter med til Ekstra Bladet søndag aften- Det er første gang, at vi oplever det, fortalte han.- Vi ved ikke helt, hvorfor der er så lang kø lige i dag. Skal man gisne, kan der have været mange danskere, som henover weekenden har været på Bornholm og skal igennem paskontrollen, sagde han.Politiet oplyser til DR, at i samme tidsrum søndagen inden Kristi Himmelfartsweekenden passerede 3400 køretøjer grænsekontrollen, mens tallet søndag 24. maj var helt oppe på 9000, og nu advarer politiet mod, at altså kan ske igen næste weekend i forbindelse med pinse.Politiet opfordrer derfor til, at man finder en anden transportform eller vælger at krydse grænsen på andre tidspunkter, end eftermiddagen og aftenen inden ferien er slut.Se også: Tyskland skruer bissen på over for bilister",26. maj. 2020
https://ekstrabladet.dk/nyheder/erhvervsnyheder/rigmands-raketaffyring-i-10.000-meters-hoejde-fejler-i-debut/8136446,33,Rigmands raketaffyring i 10.000 meters højde fejler i debut,"Markedet for små satellitter er voksende, og Richard Branson vil med selskabet Virgin Orbit have del i det","Den første testaffyring af en Virgin Orbit-raket fra et fly i cirka 10.000 meters højde er mandag mislykkedes.Det oplyser selskabet, der er ejet af den britiske rigmand Richard Branson, ifølge nyhedsbureauet AFP.Raketten skulle være gået i kredsløb om Jorden med det mål at kunne sende satellitter afsted - men første affyring blev opgivet efter kort tid.- Missionen blev afbrudt kort inde i flyvningen. Cosmic Girl og vores mandskab på flyet er i sikkerhed og på vej tilbage til basen, skriver Virgin Orbit på Twitter.Cosmic Girl er navnet på den omdannede Boeing 747, der bar den cirka 21 meter lange raket, som helt efter planen blev sluppet fri under vingen fra jumbojetten.Men selv om raketmotoren satte i gang sekunder efter affyringen, var kontrolrummet nødt til at afbryde flyvningen på grund af en 'uregelmæssighed', skriver BBC.Målet med Virgins raketaffyringer er at få del i det voksende marked for små satellitter.Affyringer fra fly kan potentielt være mere fleksible og billigere end affyringer fra landjorden, da man blot har brug for en start- og landingsbane og ikke en hel affyringsplatform.Det står endnu ikke klart, præcist hvad der gik galt under affyringen. Men Bransons selskab havde på forhånd advaret om, at den første affyrings chancer for succes var fifty-fifty.En anden rigmand med store rumambitioner kom dog med trøstende ord.- Så ked af at høre om det. Kredsløb er vanskeligt. Det tog os fire forsøg med Falcon 1, skriver Elon Musk, ejeren af rumfartsvirksomheden SpaceX.Musk har store drømme om privat rumfart, og onsdag står SpaceX for en meget omtalt opsendelse af to amerikanske astronauter til Den Internationale Rumstation (ISS).Virgin-flyet lettede mandag fra en base i Mojave-ørkenen i Californien, og den mislykkede affyring fandt sted over Stillehavet.Inden testen havde selskabet meddelt, at missionen var 'det mest teknisk komplekse, som vi har forsøgt at opnå hidtil', skriver AFP.- De første få sekunder efter frigivelsen af raketten er dér, hvor det hele skal hænge sammen, lød det.Efter testen skriver selskabet på Twitter, at det er meget tilfreds med den indsamlede data, også selv om affyringen måtte afbrydes.At affyre raketter fra fly er ikke et nyt koncept. Raketten Pegasus, som er udviklet af Northrop Grumman-gruppen, har eksisteret siden 1990'erne. Men Virgin Orbit ønsker at lave en billigere udgave.Branson har også et andet rumfartsselskab, Virgin Galactic, der fokuserer på rumfartsturisme.",26. maj. 2020
https://ekstrabladet.dk/nyheder/politik/brasiliansk-borgmester-revser-bolsonaros-coronaindsats/8136430,14,Brasiliansk borgmester revser Bolsonaros coronaindsats,"Præsident Jair Bolsonaros indsats under pandemien - eller mangel på samme - møder kritik, mens dødstal stiger","Borgmester i den brasilianske millionby Manaus, der er hårdt ramt af coronavirus, siger, at præsident Jair Bolsonaro har et 'medansvar' for det høje antal døde i landet.Det skriver amerikanske medie CNN.Borgmesteren Arthur Virgilio Neto opfordrer Bolsonaro til at træde af som præsident, 'holde kæft og blive hjemme'.Den hårde retorik lyder samtidig med, at dødstallet i Brasilien fortsat stiger. I Manaus er 1182 døde, og alene lørdag blev 51 begravelser afholdt.Bolsonaro har gentagne gange talt udbruddet af coronavirus ned. Han har kaldt Covid-19 for 'en lille influenza' og fordømt 'hysteriet' omkring sygdommen.I fravær af nationale retningslinjer har de enkelte byer og delstater været nødsaget til at udstede hver sit sæt af forholdsregler.Næsten alle Brasiliens 27 delstater er under en eller anden form for nedlukning.Bolsonaro har deltaget i flere demonstrationer mod disse restriktioner og nedlukninger.Borgmester Neto udtrykker stor frustration over Bolsonaros manglende opbakning til nedlukning, da det ifølge ham smitter af på borgerne.- Flertallet af mennesker lytter til ham (Bolsonaro, red.), fordi borgere i Manaus har ikke opretholdt krav om social afstand. Han er medvirkende til dødsfald blandt coronasmittede, siger Neto ifølge CNN.- Jeg ved ikke, hvordan det kan forklares, at en mand med så lave kvalifikationer kan blive præsident for et land på 210 millioner indbyggere, tilføjer han.Med over 363.000 bekræftede smittetilfælde overgås Brasilien kun af USA. Mandag er yderligere 807 personer døde med coronavirus i Brasilien, hvilket ifølge nyhedsbureauet Reuters er flere end USA, der har registreret omkring 600 dødsfald det seneste døgn. Totalt er mindst 22.000 coronapatienter døde i Brasilien. Brasilien har en af de laveste testrater, og forskere spår, at det reelle antal smittede kan være langt højere.En forskergruppe, Covid-19 Brasil, anslår, at omkring 3,6 millioner er smittede. Det er mere end ti gange så mange som det officielle tal.",26. maj. 2020
https://ekstrabladet.dk/flash/udlandkendte/skulle-paa-toilettet-koebte-designertaske-for-at-faa-lov/8132202,41,Skulle på toilettet: Købte designertaske for at få lov,,"Det er ikke ikke helt skidt at være en verdenskendt model og være gift med en af USA's allermest kendte sangere. I hvert fald ikke, når ens navn er Chrissy Teigen og både pengepungen og humøret er i orden. Hun er kendt for ikke at være bleg for at tage pis på sig selv og sin mand, John Legend også selvom de er et af verdens aller mest kendte par, så fejler humoren intet. Den amerikanske model kan også fortælle frit om toiletbesøg. Og sådan en situation kan opstå i tide og i utide. Det gjorde det i hvert fald for den smukke model, mens hun stod midt i Barney's (et stormagasin, red.). Hvad gør man så?Hvis man er en helt almindelig borger, spørger man en medarbejder, som der findes et kundetoilet, men hvis man er superstjerne, så er der en anden praksis. Man køber en dyr designertaske, for at have god samvittighed med at spørge om toilettet. Det gjorde Chrissy Teigen i hvert fald. Op til 20.000 kronerTasken, hun købte, er fra mærket Celine, hvis tasker løber op i alt fra 2000 kroner til over 20.000 kroner. Hvilken prisklasse modellen var ude i, melder historien intet om. Det bekræfter hun på Twitter. I forbindelse med en kogebog stjernen har udgivet, skrev hun på det sociale medie om at en opskrift var inspireret af en ret, hun havde spist i selvsamme stormagasin. Det førte til en anden Twitter-brugers kommentar om toiletbesøget. I opslaget lyder det: 'Jeg har engang set dig i Barneys hvor du købte en Céline-taske, så du ikke havde dårlig samvittighed over at bede om at låne toilettet. Jeg vidste, at jeg elskede dig inden det, men det stadfæstede det.' Til det svarer den humoristiske model: 'Wow, alle, som kender mig, ved, at det er meget sandt og alt for ofte' ",25. maj. 2020
https://ekstrabladet.dk/sport/anden_sport/anden_sport/ved-i-hvem-min-kaereste-er/8135309,7,- Ved I hvem min kæreste er?,,"Samantha Bracksieck begik en fejl, da hun satte sig påvirket bag rattet og kørte af sted uden lys på.Det er pinligt nok i sig selv, men det blev endnu værre, da hun begyndte at nævne sin berømte kæreste Aaron Judge, der spiller baseball for New York Yankees.Nok har Judge to gange været udnævnt som såkaldt All Star i ligaen, men hans berømmelse kunne altså ikke redde partneren.Den 26-årige Bracksieck blev stoppet af politiet i Arizona tilbage i februar, og nu er der dukket en video op, hvor hun forsøger at slippe for problemer.- Jeg skal bare hjem. Ved I, hvem min kæreste er?Svaret fra ordensmagten var nej. - Min kæreste er ikke i en position, hvor jeg skal få det her til at ske. Han er en offentlig person. Så at jeg bliver anholdt for at have drukket to glas vin, er ikke okay, lyder det i videoen, som TMZ har fingrene i.- Min kæreste er i rampelyset i New Yorks medier. Og her er jeg i håndjern i Arizona. Det er ikke godt.Hun indrømmede altså at have drukket to glas vin, men hun klarede ikke pustetesten, og sigtelsen lyder på en 'extreme DUI'. Hun må med andre ord have været mere pårvirket, end hun selv gav udtryk for.Sagen afgøres i juni, og hverken Bracksieck eller den berømte kæreste har ytret sig offentligt om sagen.",25. maj. 2020
https://ekstrabladet.dk/flash/udlandkendte/se-verdenstjernens-hemmelige-tvillingebror/8135953,10,Se verdenstjernens 'hemmelige tvillingebror',,"Den verdenskendte realitystjerne Kendall Jenners 'hemmelige tvillingebror' Kerby Jenner introducerer endelig sig selv til hele verden i en ny trailer for hans nye tv-serie på Quibi.I den morsomme trailer, du kan se øverst i artiklen, ser man blandt andet Instagram-komikeren hænge ud med sin 'tvillingesøster' Kendall samt sine andre søstre heriblandt Kourtney, Khloe og Kim Kardashian.Det skriver flere medier heriblandt People, New York Post og Teen VogueSelveste Kendall Jenner var også på Twitter ude og reklamere for sin 'hemmelige tvillingebrors' nye show den 21. maj, hvor hun skrev følgende:'Hemmeligheden er afsløret. Min tvillingebror Kirby Jenner har lavet et nyt show. Det kan ses på søndag på Quibi.'",25. maj. 2020
https://ekstrabladet.dk/nyheder/samfund/britiske-medier-anklages-for-dobbeltmoral-og-heksejagt/8136349,108,Britiske medier anklages for dobbeltmoral og heksejagt,,"Søndag var britiske medier mødt talstærkt op foran premierministerens rådgiver Dominic Cummings hus for at få en udtalelse omkring rådgiverens brud på reglerne omkring social afstand.Efterfølgende er journalisterne sammen med flere britiske medier som BBC, Daily Mail og The Telegraph blevet anklaget for at føre heksejagt mod rådgiveren.Det sker under det populære hashtag #ScumMedia, hvor journalisterne anklages for dobbeltmoral, fordi de selv bryder reglerne ved at stå på nakken af hinanden.I en video fra søndag morgen kan man se, hvordan journalister og kamerafolk flokkes om Cumming, mens de febrilsk forsøger at få en udtalelse omkring hans brud på reglerne om social afstand - alt imens de altså selv næsten falder over hinanden:  .tv-warning-container{background:hsla(0,0%,100%,.6);border:1px solid rgba(0,0,0,.6);border-radius:10px;-webkit-box-shadow:0 0 10px rgba(0,0,0,.6);box-shadow:0 0 10px rgba(0,0,0,.6);font-weight:700;height:210px;left:50%;padding-top:20px;position:absolute;text-align:center;top:50%;-webkit-transform:translate(-50%,-50%);transform:translate(-50%,-50%);width:320px}.tv-isfollowing .tv-warning-container{font-size:16px}.tv-warning-counter{font-size:34px;margin:20px auto 0}.tv-isfollowing .tv-warning-counter{font-size:24px;margin-top:10px}.tv-warning-button{border:3px solid green;border-radius:40px;cursor:pointer;margin:20px auto;min-width:120px;padding:10px}.tv-isfollowing .tv-warning-button{margin-top:10px;margin-bottom:10px}.tv-isfollowing{background:#3c3c3c;border-radius:10px;padding:10px;position:fixed;bottom:20px;height:175px;opacity:0;right:auto;top:auto;width:310px;z-index:99999999;-webkit-transform:opacity .3s;transform:opacity .3s}.tv-follow-close{background:#3c3c3c;border-radius:13px;height:30px;line-height:20px;padding:5px 5px 10px;position:absolute;right:0;top:0;z-index:1;color:#fff;width:30px}#livescore-overlay{position:absolute;top:10px;left:10px;-webkit-box-orient:vertical;-webkit-flex-direction:column;-ms-flex-direction:column;flex-direction:column;-webkit-box-align:center;-webkit-align-items:center;-ms-flex-align:center;align-items:center;width:180px}#livescore-overlay,.livescore-overlay-scoreboard{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-direction:normal}.livescore-overlay-scoreboard{-webkit-box-orient:horizontal;-webkit-flex-direction:row;-ms-flex-direction:row;flex-direction:row}#livescore-overlay-away-name,#livescore-overlay-home-name{padding:2px 0;background:hsla(0,0%,60%,.8);width:60px;text-align:center;font-size:20px;color:#fff}#livescore-overlay-away-score,#livescore-overlay-home-score{background:#fff;width:30px;padding:2px 6px;font-size:20px;color:#000}#livescore-overlay-away-score{text-align:right}#livescore-overlay-time{width:60px;padding:2px 0;text-align:center;background:#32a237;color:#fff;font-size:16px;border-bottom-left-radius:5px;border-bottom-right-radius:5px;margin:0 auto}.playkit-control-button[aria-label=Settings]{display:none!important}.playkit-pre-playback-play-overlay{cursor:pointer}    (function() {",25. maj. 2020
https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/engelsk_fodbold/PremierLeague/stor-transfer-plan-hoejbjerg-i-bytte/8135829,31,Stor transfer-plan: Højbjerg i bytte?,,"Pierre-Emile Højbjerg står højt på Tottenhams ønskeliste denne sommer.Og klubben har en plan klar for, hvordan danskerens underskrift skal komme i hus, skriver Football Insider.Således mener det engelske medie at vide, at højrebacken Kyle Walker-Peters, som er røget ud i kulden i klubben, skal indgå i en byttehandel med Højbjerg.Artiklen fortsætter under billedet ...",25. maj. 2020
https://ekstrabladet.dk/sport/haandbold/kaemper-videre-sagen-slutter-ikke-her/8136352,1,Kæmper videre: Sagen slutter ikke her,"Selv om Nordsjælland, Aalborg og Odder for anden gang er skrivebordsdømt til nedrykning, så fortsætter sagen","Nordsjælland Håndbold, EH Aalborg og Odder Håndbold kæmper videre for at undgå en skrivebordsnedrykning.Mandag stadfæstede Dansk Håndbold Forbunds (DHF) øverste organ, repræsentantskabet, slutstillingen i de bedste og næstbedste ligaer, der blev afbrudt før tid på grund af coronakrisen.Men sagen fortsætter nu hos appelinstansen i Danmarks Idrætsforbund (DIF) for Nordsjælland og Odders herrer samt Aalborgs damer.Allerede før mandagens repræsentantskabsmøde havde de tre klubber indbragt sagen for DIF's appelinstans.- Vi fortsætter vores kamp. Vi har ikke givet op endnu, siger Nordsjælland-direktør Hans Peter Dueholm. Hans kollega i EH Aalborg, Henrik Skals, stemmer i.- Nu håber vi bare på, at der blevet truffet en afgørelse så hurtigt som muligt i DIF's appelinstans, så vi kan få det afsluttet, siger Skals.De to direktører fortæller, at de før mandagens møde havde forventet, at DHF's repræsentantskab ville gå imod dem. De ærgrer sig dog over forløbet, hvor de ikke føler, at de er blevet hørt.Skrivebordsnedrykningerne er en økonomisk bet for klubberne. For Aalborgs kvindehold har det desuden haft store konsekvenser for truppen til næste sæson.- Ud over økonomien har det her betydet, at vi har mistet hele vores trup til næste sæson. Der er kun en spiller tilbage, siger Henrik Skals.De nedrykningsdømte klubber havde opfordret til, at nedrykningerne skulle droppes. Det ville betyde, at landets bedste ligaer skulle udvides fra 14 til 15 hold i næste sæson.- DHF burde tænke på helheden, og det synes jeg ikke, at de har gjort, siger Hans Peter Dueholm fra Nordsjælland. Det er uvist, hvornår appelinstansen i DIF træffer en afgørelse i sagen. Se også: Nedrykninger stadfæstet i dansk håndbold",25. maj. 2020
https://ekstrabladet.dk/nyheder/politik/danskpolitik/vroevlehoved-stoejberg-tumler-rundt/8135929,497,Vrøvlehoved: Støjberg tumler rundt,,"Det drejer sig ikke om jura. Det drejer sig om sandhed.Inger Støjbergs udspørger, Lars Kjeldsen, leverede i går Instrukskommissionens nuværende mission i bouillonterning.Sagen om adskillelsen af de unge asylpar i 2016 har nemlig efterhånden taget en drejning, hvor alt handler om, hvorvidt kommissionen og offentligheden tror på Inger Støjberg - eller ej.Selv erkender Inger Støjberg da også, at hun har sejlet rundt i forklaringerne.- Det er ikke mit fineste øjeblik.- Noget af det her var noget vrøvl, siger hun med henvisning til et interview i Politiken i maj 2017.UpræcistMen også ved andre lejligheder fremstår hendes tidligere forklaringer i bedste fald nu besynderlige.Kommissionen borede også i et Facebook-opslag, hvor Inger Støjberg ligeledes maj 2017 skrev, at hun havde ændret praksis som følge af kritik fra ombudsmanden.Den forklaring lægger hun afstand til i dag. Udspørger Lars Kjeldsen bed sig fast. Det førte til denne ordveksling i retslokalerne på Frederiksberg:- Du skriver, at beslutningen blev kendt ulovlig af ombudsmanden, og 'jeg blev tvunget til at ændre praksis'. Hvad var det for en praksis, du blev tvunget til at ændre?- Det er upræcis beskrevet, svarede Støjberg.- Er der ændret praksis?- Det er derfor, jeg siger, det er upræcist.- Hvorfor har den praksis sneget sig ind her?- Det kan jeg ikke sige.- Der må være en grund til, at du har skrevet det?- Det er upræcist.- Så du ændrede ikke praksis?- Jeg kan henholde mig til de ting om ministernotatet, jeg sagde i går. Det tænker jeg ikke, vi skal gå igennem, lød det fra Inger Støjberg.Gængs opfattelseAllerede to uger efter den ulovlige instruks blev udsendt, undlod hun i et svar til Folketinget at fortælle, at hun kørte sagen i to spor, sådan som hun forklarer i dag.- Når man spørger politisk, så får man også et politisk svar, forklarede hun.Naser Khader (K), der havde stillet spørgsmålet, havde jo ikke spurgt specifikt til, hvorvidt parrene fik individuel sagsbehandling. Derfor var på svaret på dette spørgsmål og ved efterfølgende åbne samråd 'ikke fyldestgørende', måtte kommissionens forstå.Udspørger Kjeldsen undrede over den åbenlyst mærkværdige skelnen mellem retvisende og politiske svar. Kommissionen derfor fandt hurtigt Folketingets håndbog frem, hvor der ikke foretages en sådan sondring. Straks ændrede Støjberg igen forklaring:- Det er en gængs opfattelse, lød det nu.",25. maj. 2020
