id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;urls_get;requests;1598359913.5520692;-0.25447773933410645;https://ekstrabladet.dk/sport/haandbold/dansk-toptraener-fanget-skudt-fem-gange-med-feberpistoler/8024218;https://ekstrabladet.dk/sport/haandbold/dansk-toptraener-fanget-skudt-fem-gange-med-feberpistoler/8024218;571829;200;True;
1;urls_get;requests;1598359916.9615977;-0.37477755546569824;https://ekstrabladet.dk/sport/anden_sport/boksning/barsk-rejse-har-mange-gange-taenkt-fuck-boksning/8025435;https://ekstrabladet.dk/sport/anden_sport/boksning/barsk-rejse-har-mange-gange-taenkt-fuck-boksning/8025435;575361;200;True;
2;urls_get;requests;1598359919.5014863;-0.43834877014160156;https://ekstrabladet.dk/flash/udlandkendte/journalist-staar-frem-min-eks-er-kaereste-med-lady-gaga/8025410;https://ekstrabladet.dk/flash/udlandkendte/journalist-staar-frem-min-eks-er-kaereste-med-lady-gaga/8025410;576386;200;True;
3;urls_get;requests;1598359921.700657;-0.3979372978210449;https://ekstrabladet.dk/nyheder/politik/danskpolitik/ferrari-politiker-langede-ud-efter-konfirmander-i-ferrari/8025212;https://ekstrabladet.dk/nyheder/politik/danskpolitik/ferrari-politiker-langede-ud-efter-konfirmander-i-ferrari/8025212;596363;200;True;
4;urls_get;requests;1598359926.3120773;-0.47142744064331055;https://ekstrabladet.dk/nyheder/politik/historisk-fredsaftale-usa-vil-traekke-alle-soldater-ud-af-afghanistan/8025203;https://ekstrabladet.dk/nyheder/politik/historisk-fredsaftale-usa-vil-traekke-alle-soldater-ud-af-afghanistan/8025203;565879;200;True;
5;urls_get;requests;1598359928.760301;-0.5644104480743408;https://ekstrabladet.dk/nyheder/politik/amerikansk-lokalpolitiker-anklaget-for-at-lede-narkoring/8025184;https://ekstrabladet.dk/nyheder/politik/amerikansk-lokalpolitiker-anklaget-for-at-lede-narkoring/8025184;565152;200;True;
6;urls_get;requests;1598359931.2581637;-0.22709441184997559;https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/danske-spil-skal-af-med-millioner/8024110;https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/danske-spil-skal-af-med-millioner/8024110;570242;200;True;
7;urls_get;requests;1598359933.3169105;-0.33144426345825195;https://ekstrabladet.dk/112/drabsforsoeg-tre-sigtede-loesladt-for-koege-skud/8025409;https://ekstrabladet.dk/112/drabsforsoeg-tre-sigtede-loesladt-for-koege-skud/8025409;561236;200;True;
8;urls_get;requests;1598359935.3481512;-0.8875782489776611;https://ekstrabladet.dk/flash/filmogtv/jeg-var-saa-bange/8025094;https://ekstrabladet.dk/flash/filmogtv/jeg-var-saa-bange/8025094;593019;200;True;
9;urls_get;requests;1598359938.6264725;-0.7019631862640381;https://ekstrabladet.dk/nyheder/samfund/forskere-virus-kan-have-vaeret-her-laengere-end-vi-troede/8025337;https://ekstrabladet.dk/nyheder/samfund/forskere-virus-kan-have-vaeret-her-laengere-end-vi-troede/8025337;572251;200;True;
10;urls_get;requests;1598359941.1561003;-0.33769798278808594;https://ekstrabladet.dk/sport/anden_sport/boksning/rent-kaos-tredje-promotor-paa-et-aar/8025323;https://ekstrabladet.dk/sport/anden_sport/boksning/rent-kaos-tredje-promotor-paa-et-aar/8025323;578707;200;True;
2;urls_get;requests;1598359943.1562603;-0.4457080364227295;https://ekstrabladet.dk/vin/vinnyheder/stortest-rom-fra-uafhaengige-aftappere/7994594;https://ekstrabladet.dk/vin/vinnyheder/stortest-rom-fra-uafhaengige-aftappere/7994594;581363;200;True;
3;urls_get;requests;1598359945.2382302;-0.6049270629882812;https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/italienskfodbold/eriksens-kamp-mod-juventus-udsat-efter-coronafrygt/8025372;https://ekstrabladet.dk/sport/fodbold/udenlandsk_fodbold/italienskfodbold/eriksens-kamp-mod-juventus-udsat-efter-coronafrygt/8025372;599091;200;True;
4;urls_get;requests;1598359948.0523088;-0.25365614891052246;https://ekstrabladet.dk/nyheder/politik/de-radikale-fastholder-klima-trussel-mod-regeringen/8025265;https://ekstrabladet.dk/nyheder/politik/de-radikale-fastholder-klima-trussel-mod-regeringen/8025265;565663;200;True;
5;urls_get;requests;1598359949.889618;-0.5033411979675293;https://ekstrabladet.dk/nyheder/samfund/fyret-for-at-slikke-paa-patienters-taeer/8021294;https://ekstrabladet.dk/nyheder/samfund/fyret-for-at-slikke-paa-patienters-taeer/8021294;565483;200;True;
6;urls_get;requests;1598359952.1359787;-4.854740381240845;https://ekstrabladet.dk/sport/anden_sport/mma/mma-kaemper-brystopereret-deler-modigt-toploest-billede/8025333;https://ekstrabladet.dk/sport/anden_sport/mma/mma-kaemper-brystopereret-deler-modigt-toploest-billede/8025333;599297;200;True;
